link.citation,con.taxonomy,res.taxonomy,foodweb.name
Layer et al. (2010),Anabolia nervosa,CPOM,Mill Stream
Layer et al. (2010),Anabolia nervosa,FPOM,Mill Stream
Layer et al. (2010),Anabolia nervosa,Baetis niger,Mill Stream
Layer et al. (2010),Anabolia nervosa,Chironomidae,Mill Stream
Layer et al. (2010),Anabolia nervosa,Tanypodinae,Mill Stream
Layer et al. (2010),Anabolia nervosa,Achnanthes,Mill Stream
Layer et al. (2010),Anabolia nervosa,Achnanthes joursacense,Mill Stream
Layer et al. (2010),Anabolia nervosa,Achnanthes lanceolata,Mill Stream
Layer et al. (2010),Anabolia nervosa,Amphora ovalis,Mill Stream
Layer et al. (2010),Anabolia nervosa,Amphora pediculus,Mill Stream
Layer et al. (2010),Anabolia nervosa,Cocconeis placentula,Mill Stream
Layer et al. (2010),Anabolia nervosa,Cymatopleura solea,Mill Stream
Layer et al. (2010),Anabolia nervosa,Cymbella lanceolata,Mill Stream
Layer et al. (2010),Anabolia nervosa,Diatoma vulgaris,Mill Stream
Layer et al. (2010),Anabolia nervosa,Encyonema minutum,Mill Stream
Layer et al. (2010),Anabolia nervosa,Encyonema silesiacum,Mill Stream
Layer et al. (2010),Anabolia nervosa,Fragilaria elliptica,Mill Stream
Layer et al. (2010),Anabolia nervosa,Fragilaria leptostauron,Mill Stream
Layer et al. (2010),Anabolia nervosa,Fragilaria ulna,Mill Stream
Layer et al. (2010),Anabolia nervosa,Fragilaria vaucheriae,Mill Stream
Layer et al. (2010),Anabolia nervosa,Gomphonema olivaceum,Mill Stream
Layer et al. (2010),Anabolia nervosa,Melosira varians,Mill Stream
Layer et al. (2010),Anabolia nervosa,Navicula capitatoradiata,Mill Stream
Layer et al. (2010),Anabolia nervosa,Navicula cryptotenella,Mill Stream
Layer et al. (2010),Anabolia nervosa,Navicula gregaria,Mill Stream
Layer et al. (2010),Anabolia nervosa,Navicula lanceolata,Mill Stream
Layer et al. (2010),Anabolia nervosa,Navicula menisculus,Mill Stream
Layer et al. (2010),Anabolia nervosa,Navicula pseudofrugalis,Mill Stream
Layer et al. (2010),Anabolia nervosa,Navicula tripunctata,Mill Stream
Layer et al. (2010),Anabolia nervosa,Nitzschia dissipata,Mill Stream
Layer et al. (2010),Anabolia nervosa,Nitzschia perminuta,Mill Stream
Layer et al. (2010),Anabolia nervosa,Rhoicosphenia abbreviata,Mill Stream
Layer et al. (2010),Anabolia nervosa,Surirella ovalis,Mill Stream
Layer et al. (2010),Anabolia nervosa,Tabellaria flocculosa,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,CPOM,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,FPOM,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,Achnanthes,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,Achnanthes joursacense,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,Achnanthes lanceolata,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,Amphora ovalis,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,Amphora pediculus,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,Cocconeis placentula,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,Cymatopleura solea,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,Cymbella lanceolata,Mill Stream
Layer et al. (2010),Ancylus fluviatilis,Diatoma vulgaris,Mill Stream
