link.citation,con.taxonomy,res.taxonomy,foodweb.name
Layer et al. (2010),Amphinemura sulcicollis,CPOM,Mosendale Beck
Layer et al. (2010),Amphinemura sulcicollis,FPOM,Mosendale Beck
Layer et al. (2010),Amphinemura sulcicollis,Diatoma hyemale quadratum,Mosendale Beck
Layer et al. (2010),Amphinemura sulcicollis,Eunotia,Mosendale Beck
Layer et al. (2010),Amphinemura sulcicollis,Eunotia incisa,Mosendale Beck
Layer et al. (2010),Amphinemura sulcicollis,Eunotia rhomboidea,Mosendale Beck
Layer et al. (2010),Amphinemura sulcicollis,Fragilaria,Mosendale Beck
Layer et al. (2010),Amphinemura sulcicollis,Peronia fibula,Mosendale Beck
Layer et al. (2010),Amphinemura sulcicollis,Pinnularia subcapitata,Mosendale Beck
Layer et al. (2010),Amphinemura sulcicollis,Tabellaria flocculosa,Mosendale Beck
Layer et al. (2010),Chironomidae,CPOM,Mosendale Beck
Layer et al. (2010),Chironomidae,FPOM,Mosendale Beck
Layer et al. (2010),Chironomidae,Diatoma hyemale quadratum,Mosendale Beck
Layer et al. (2010),Chironomidae,Eunotia,Mosendale Beck
Layer et al. (2010),Chironomidae,Eunotia incisa,Mosendale Beck
Layer et al. (2010),Chironomidae,Eunotia rhomboidea,Mosendale Beck
Layer et al. (2010),Chironomidae,Fragilaria,Mosendale Beck
Layer et al. (2010),Chironomidae,Peronia fibula,Mosendale Beck
Layer et al. (2010),Chironomidae,Pinnularia subcapitata,Mosendale Beck
Layer et al. (2010),Chironomidae,Tabellaria flocculosa,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,CPOM,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,FPOM,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Chironomidae,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Leuctra inermis,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Tanypodinae,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Diatoma hyemale quadratum,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Eunotia,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Eunotia incisa,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Eunotia rhomboidea,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Fragilaria,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Peronia fibula,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Pinnularia subcapitata,Mosendale Beck
Layer et al. (2010),Hydropsyche siltalai,Tabellaria flocculosa,Mosendale Beck
Layer et al. (2010),Isoperla grammatica,Chironomidae,Mosendale Beck
Layer et al. (2010),Isoperla grammatica,Isoperla grammatica,Mosendale Beck
Layer et al. (2010),Isoperla grammatica,Leuctra inermis,Mosendale Beck
Layer et al. (2010),Isoperla grammatica,Siphonoperla torrentium,Mosendale Beck
Layer et al. (2010),Isoperla grammatica,Tanypodinae,Mosendale Beck
Layer et al. (2010),Leuctra inermis,CPOM,Mosendale Beck
Layer et al. (2010),Leuctra inermis,FPOM,Mosendale Beck
Layer et al. (2010),Leuctra inermis,Diatoma hyemale quadratum,Mosendale Beck
Layer et al. (2010),Leuctra inermis,Eunotia,Mosendale Beck
Layer et al. (2010),Leuctra inermis,Eunotia incisa,Mosendale Beck
Layer et al. (2010),Leuctra inermis,Eunotia rhomboidea,Mosendale Beck
Layer et al. (2010),Leuctra inermis,Fragilaria,Mosendale Beck
Layer et al. (2010),Leuctra inermis,Peronia fibula,Mosendale Beck
Layer et al. (2010),Leuctra inermis,Pinnularia subcapitata,Mosendale Beck
Layer et al. (2010),Leuctra inermis,Tabellaria flocculosa,Mosendale Beck
Layer et al. (2010),Plectrocnemia conspersa,Chironomidae,Mosendale Beck
Layer et al. (2010),Plectrocnemia conspersa,Leuctra inermis,Mosendale Beck
Layer et al. (2010),Plectrocnemia conspersa,Oligochaeta,Mosendale Beck
Layer et al. (2010),Plectrocnemia conspersa,Plectrocnemia conspersa,Mosendale Beck
Layer et al. (2010),Plectrocnemia conspersa,Siphonoperla torrentium,Mosendale Beck
Layer et al. (2010),Plectrocnemia conspersa,Tanypodinae,Mosendale Beck
Layer et al. (2010),Siphlonurus armatus,FPOM,Mosendale Beck
Layer et al. (2010),Siphlonurus armatus,Diatoma hyemale quadratum,Mosendale Beck
Layer et al. (2010),Siphlonurus armatus,Eunotia,Mosendale Beck
Layer et al. (2010),Siphlonurus armatus,Eunotia incisa,Mosendale Beck
Layer et al. (2010),Siphlonurus armatus,Eunotia rhomboidea,Mosendale Beck
Layer et al. (2010),Siphlonurus armatus,Fragilaria,Mosendale Beck
Layer et al. (2010),Siphlonurus armatus,Peronia fibula,Mosendale Beck
Layer et al. (2010),Siphlonurus armatus,Pinnularia subcapitata,Mosendale Beck
Layer et al. (2010),Siphlonurus armatus,Tabellaria flocculosa,Mosendale Beck
Layer et al. (2010),Siphonoperla torrentium,Chironomidae,Mosendale Beck
Layer et al. (2010),Siphonoperla torrentium,Isoperla grammatica,Mosendale Beck
Layer et al. (2010),Siphonoperla torrentium,Leuctra inermis,Mosendale Beck
Layer et al. (2010),Siphonoperla torrentium,Oligochaeta,Mosendale Beck
Layer et al. (2010),Siphonoperla torrentium,Siphonoperla torrentium,Mosendale Beck
Layer et al. (2010),Siphonoperla torrentium,Tanypodinae,Mosendale Beck
Layer et al. (2010),Tanypodinae,CPOM,Mosendale Beck
Layer et al. (2010),Tanypodinae,FPOM,Mosendale Beck
Layer et al. (2010),Tanypodinae,Chironomidae,Mosendale Beck
Layer et al. (2010),Tanypodinae,Leuctra inermis,Mosendale Beck
Layer et al. (2010),Tanypodinae,Oligochaeta,Mosendale Beck
Layer et al. (2010),Tanypodinae,Plectrocnemia conspersa,Mosendale Beck
Layer et al. (2010),Tanypodinae,Siphonoperla torrentium,Mosendale Beck
Layer et al. (2010),Tanypodinae,Tanypodinae,Mosendale Beck
Layer et al. (2010),Salmo trutta,Amphinemura sulcicollis,Mosendale Beck
Layer et al. (2010),Salmo trutta,Chironomidae,Mosendale Beck
Layer et al. (2010),Salmo trutta,Hydropsyche siltalai,Mosendale Beck
Layer et al. (2010),Salmo trutta,Isoperla grammatica,Mosendale Beck
Layer et al. (2010),Salmo trutta,Leuctra inermis,Mosendale Beck
Layer et al. (2010),Salmo trutta,Oligochaeta,Mosendale Beck
Layer et al. (2010),Salmo trutta,Tanypodinae,Mosendale Beck
Layer et al. (2010),Salmo trutta,Salmo trutta,Mosendale Beck
