link.citation,con.taxonomy,res.taxonomy,foodweb.name
Legagneux et al. (2014),Falco spec.,Lagopus spec. ,Nenetsky
Legagneux et al. (2014),Falco spec.,shorebirds,Nenetsky
Legagneux et al. (2014),lemmings,mosses,Nenetsky
Legagneux et al. (2014),lemmings,lichens,Nenetsky
Legagneux et al. (2014),lemmings,grasses and sedges,Nenetsky
Legagneux et al. (2014),lemmings,forbs,Nenetsky
Legagneux et al. (2014),lemmings,shrubs,Nenetsky
Legagneux et al. (2014),Microtus oeconomus,mosses,Nenetsky
Legagneux et al. (2014),Microtus oeconomus,lichens,Nenetsky
Legagneux et al. (2014),Microtus oeconomus,grasses and sedges,Nenetsky
Legagneux et al. (2014),Microtus oeconomus,forbs,Nenetsky
Legagneux et al. (2014),Microtus oeconomus,shrubs,Nenetsky
Legagneux et al. (2014),Lepus arcticus,mosses,Nenetsky
Legagneux et al. (2014),Lepus arcticus,lichens,Nenetsky
Legagneux et al. (2014),Lepus arcticus,grasses and sedges,Nenetsky
Legagneux et al. (2014),Lepus arcticus,forbs,Nenetsky
Legagneux et al. (2014),Lepus arcticus,shrubs,Nenetsky
Legagneux et al. (2014),Rangifer tarandus,mosses,Nenetsky
Legagneux et al. (2014),Rangifer tarandus,lichens,Nenetsky
Legagneux et al. (2014),Rangifer tarandus,grasses and sedges,Nenetsky
Legagneux et al. (2014),Rangifer tarandus,forbs,Nenetsky
Legagneux et al. (2014),Rangifer tarandus,shrubs,Nenetsky
Legagneux et al. (2014),Lagopus spec. ,shrubs,Nenetsky
Legagneux et al. (2014),Lagopus spec. ,arthropods,Nenetsky
Legagneux et al. (2014),waterfowl,mosses,Nenetsky
Legagneux et al. (2014),waterfowl,lichens,Nenetsky
Legagneux et al. (2014),waterfowl,grasses and sedges,Nenetsky
Legagneux et al. (2014),waterfowl,shrubs,Nenetsky
Legagneux et al. (2014),passerines,forbs,Nenetsky
Legagneux et al. (2014),passerines,arthropods,Nenetsky
Legagneux et al. (2014),shorebirds,arthropods,Nenetsky
Legagneux et al. (2014),Mustela erminea,lemmings,Nenetsky
Legagneux et al. (2014),Mustela erminea,Microtus oeconomus,Nenetsky
Legagneux et al. (2014),Vulpes lagopus,lemmings,Nenetsky
Legagneux et al. (2014),Vulpes lagopus,Microtus oeconomus,Nenetsky
Legagneux et al. (2014),Vulpes lagopus,Lepus arcticus,Nenetsky
Legagneux et al. (2014),Vulpes lagopus,Lagopus spec. ,Nenetsky
Legagneux et al. (2014),Vulpes lagopus,waterfowl,Nenetsky
Legagneux et al. (2014),Vulpes lagopus,passerines,Nenetsky
Legagneux et al. (2014),Vulpes lagopus,shorebirds,Nenetsky
Legagneux et al. (2014),Vulpes vulpes,lemmings,Nenetsky
Legagneux et al. (2014),Vulpes vulpes,Microtus oeconomus,Nenetsky
Legagneux et al. (2014),Vulpes vulpes,Lepus arcticus,Nenetsky
Legagneux et al. (2014),Vulpes vulpes,passerines,Nenetsky
Legagneux et al. (2014),Vulpes vulpes,shorebirds,Nenetsky
Legagneux et al. (2014),Vulpes vulpes,waterfowl,Nenetsky
Legagneux et al. (2014),Gulo gulo,lemmings,Nenetsky
Legagneux et al. (2014),Gulo gulo,Lepus arcticus,Nenetsky
Legagneux et al. (2014),Gulo gulo,Rangifer tarandus,Nenetsky
Legagneux et al. (2014),Ursus horribilis,forbs,Nenetsky
Legagneux et al. (2014),Ursus horribilis,shrubs,Nenetsky
Legagneux et al. (2014),Ursus horribilis,Lepus arcticus,Nenetsky
Legagneux et al. (2014),Ursus horribilis,Rangifer tarandus,Nenetsky
Legagneux et al. (2014),Stercocarius spec.,lemmings,Nenetsky
Legagneux et al. (2014),Stercocarius spec.,Microtus oeconomus,Nenetsky
Legagneux et al. (2014),Stercocarius spec.,arthropods,Nenetsky
Legagneux et al. (2014),Stercocarius spec.,passerines,Nenetsky
Legagneux et al. (2014),Larus spec.,lemmings,Nenetsky
Legagneux et al. (2014),Larus spec.,Microtus oeconomus,Nenetsky
Legagneux et al. (2014),Larus spec.,Lepus arcticus,Nenetsky
Legagneux et al. (2014),Larus spec.,Lagopus spec. ,Nenetsky
Legagneux et al. (2014),Larus spec.,waterfowl,Nenetsky
Legagneux et al. (2014),Bubo scandiacus,lemmings,Nenetsky
Legagneux et al. (2014),Bubo scandiacus,Microtus oeconomus,Nenetsky
Legagneux et al. (2014),Bubo scandiacus,Lagopus spec. ,Nenetsky
Legagneux et al. (2014),Buteo lagopus,lemmings,Nenetsky
Legagneux et al. (2014),Buteo lagopus,Microtus oeconomus,Nenetsky
Legagneux et al. (2014),Buteo lagopus,Lagopus spec. ,Nenetsky
Legagneux et al. (2014),Buteo lagopus,passerines,Nenetsky
Legagneux et al. (2014),Falco spec.,lemmings,Nenetsky
Legagneux et al. (2014),Falco spec.,Microtus oeconomus,Nenetsky
