link.citation,con.taxonomy,res.taxonomy,foodweb.name
Layer et al. (2010),Centroptilum luteolum,FPOM,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Brachysira brebissonii,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Brachysira vitrea,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Eunotia exigua,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Eunotia incisa,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Eunotia pectinalis,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Eunotia rhomboidea,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Eunotia vanheurckii,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Frustulia rhomboides saxonica,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Frustulia rhomboides viridula,Old Lodge
Layer et al. (2010),Centroptilum luteolum,Surirella linearis,Old Lodge
Layer et al. (2010),Chironomidae,CPOM,Old Lodge
Layer et al. (2010),Chironomidae,FPOM,Old Lodge
Layer et al. (2010),Chironomidae,Brachysira brebissonii,Old Lodge
Layer et al. (2010),Chironomidae,Brachysira vitrea,Old Lodge
Layer et al. (2010),Chironomidae,Eunotia exigua,Old Lodge
Layer et al. (2010),Chironomidae,Eunotia incisa,Old Lodge
Layer et al. (2010),Chironomidae,Eunotia pectinalis,Old Lodge
Layer et al. (2010),Chironomidae,Eunotia rhomboidea,Old Lodge
Layer et al. (2010),Chironomidae,Eunotia vanheurckii,Old Lodge
Layer et al. (2010),Chironomidae,Frustulia rhomboides saxonica,Old Lodge
Layer et al. (2010),Chironomidae,Frustulia rhomboides viridula,Old Lodge
Layer et al. (2010),Chironomidae,Surirella linearis,Old Lodge
Layer et al. (2010),Leuctra nigra,CPOM,Old Lodge
Layer et al. (2010),Leuctra nigra,FPOM,Old Lodge
Layer et al. (2010),Leuctra nigra,Brachysira brebissonii,Old Lodge
Layer et al. (2010),Leuctra nigra,Brachysira vitrea,Old Lodge
Layer et al. (2010),Leuctra nigra,Eunotia exigua,Old Lodge
Layer et al. (2010),Leuctra nigra,Eunotia incisa,Old Lodge
Layer et al. (2010),Leuctra nigra,Eunotia pectinalis,Old Lodge
Layer et al. (2010),Leuctra nigra,Eunotia rhomboidea,Old Lodge
Layer et al. (2010),Leuctra nigra,Eunotia vanheurckii,Old Lodge
Layer et al. (2010),Leuctra nigra,Frustulia rhomboides saxonica,Old Lodge
Layer et al. (2010),Leuctra nigra,Frustulia rhomboides viridula,Old Lodge
Layer et al. (2010),Leuctra nigra,Surirella linearis,Old Lodge
Layer et al. (2010),Nemoura cinerea,Brachysira brebissonii,Old Lodge
Layer et al. (2010),Nemoura cinerea,Brachysira vitrea,Old Lodge
Layer et al. (2010),Nemoura cinerea,Eunotia exigua,Old Lodge
Layer et al. (2010),Nemoura cinerea,Eunotia incisa,Old Lodge
Layer et al. (2010),Nemoura cinerea,Eunotia pectinalis,Old Lodge
Layer et al. (2010),Nemoura cinerea,Eunotia rhomboidea,Old Lodge
