link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Oswego Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Oocyctis sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Oocyctis sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Oswego Lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas erosa,Oswego Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Oswego Lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas ovata,Oswego Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Oswego Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Oswego Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Oocyctis sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Mallomonas sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Mallomonas sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Dinobryon bavaricum,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Dinobryon sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Sphaerocystis schroeteri,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Navicula sp.,Oswego Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Dinobryon bavaricum,Oswego Lake
