link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Oocyctis sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Staurastrum sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon divergens,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon divergens,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Staurastrum sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Trichocerca pusilla,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",Trichocerca pusilla,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Melosira sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas akrokomos,Owl Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Asterionella formosa,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Melosira sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas akrokomos,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Owl Lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",Monostyla lunaris,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon bavaricum,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon divergens,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Sphaerocystis schroeteri,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Melosira sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas akrokomos,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Asterionella formosa,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Merismopedia tenuissima,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Merismopedia tenuissima,Owl Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Owl Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella crassa,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Monostyla lunaris,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gastropus stylifer,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Trichocerca pusilla,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia bostoniensis,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Owl Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium limbatum,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Synura sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Synura uvella,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Synura sp.,Owl Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Synura uvella,Owl Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Synura sp.,Owl Lake
