link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Rhinichthys atratulus,benthic detritus,Rat Lake
"Sutherland (1989), Havens (1992)",Pimephales promelas,benthic detritus,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Rat Lake
"Sutherland (1989), Havens (1992)",Alona quadrangularis,benthic detritus,Rat Lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Gymnodinium palustre,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Staurastrum megacanthum,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum megacanthum,Rat Lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Spondylosium planum,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dictyosphaerium pulchellum,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Spondylosium planum,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Staurastrum megacanthum,Rat Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Asterionella formosa,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dictyosphaerium pulchellum,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Pediastrum tetras,Rat Lake
"Sutherland (1989), Havens (1992)",Gastropus hyptopus,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Gastropus hyptopus,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Pediastrum tetras,Rat Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Alona quadrangularis,Tabellaria fenestrata,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Arthrodesmus incus,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon bavaricum,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Elakatrothrix gelatinosa,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Arthrodesmus incus,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Scenedesmus sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tabellaria fenestrata,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Elakatrothrix gelatinosa,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Spondylosium planum,Rat Lake
"Sutherland (1989), Havens (1992)",Alona quadrangularis,Asterionella formosa,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dictyosphaerium pulchellum,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Asterionella formosa,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Pediastrum tetras,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Anabaena flos-aquae,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Anabaena sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Anabaena flos-aquae,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Anabaena sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Arthrodesmus incus,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Elakatrothrix gelatinosa,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Scenedesmus sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Gymnodinium palustre,Rat Lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Anabaena flos-aquae,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Anabaena sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Gymnodinium palustre,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Staurastrum megacanthum,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Tabellaria fenestrata,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Asterionella formosa,Rat Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Rat Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Rat Lake
"Sutherland (1989), Havens (1992)",Rhinichthys atratulus,Gymnodinium palustre,Rat Lake
"Sutherland (1989), Havens (1992)",Rhinichthys atratulus,Staurastrum megacanthum,Rat Lake
"Sutherland (1989), Havens (1992)",Rhinichthys atratulus,Tabellaria fenestrata,Rat Lake
"Sutherland (1989), Havens (1992)",Rhinichthys atratulus,Asterionella formosa,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Leptodora kindtii,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Leptodora kindtii,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Leptodora kindtii,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,copepod nauplii,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Alona quadrangularis,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Alona quadrangularis,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Cyclops vernalis,Rat Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salmo rutta,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Cyclops vernalis,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Rat Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Catostomus commersoni,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Alona quadrangularis,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Rat Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Cyclops vernalis,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Rat Lake
"Sutherland (1989), Havens (1992)",Salmo rutta,Salmo rutta,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Rat Lake
"Sutherland (1989), Havens (1992)",Salmo rutta,Catostomus commersoni,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Diaptomus minutus,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Mesocyclops edax,Rat Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Pimephales promelas,Rat Lake
"Sutherland (1989), Havens (1992)",Salmo rutta,Salvelinus fontinalis,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Tropocyclops prasinus,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Leptodora kindtii,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gastropus hyptopus,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,Rat Lake
"Sutherland (1989), Havens (1992)",Salmo rutta,Pimephales promelas,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gastropus stylifer,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra major,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gastropus hyptopus,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,copepod nauplii,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gastropus stylifer,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Polyarthra major,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Bosmina longirostris,Rat Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Notemigonus crysoleucas,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Gastropus hyptopus,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Conochiloides unicornis,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Gastropus stylifer,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Polyarthra major,Rat Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Osmerus mordax,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Conochiloides unicornis,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra remata,Rat Lake
"Sutherland (1989), Havens (1992)",Salmo rutta,Notemigonus crysoleucas,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Polyarthra remata,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Conochiloides unicornis,Rat Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Rhinichthys atratulus,Rat Lake
"Sutherland (1989), Havens (1992)",Salmo rutta,Osmerus mordax,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Polyarthra remata,Rat Lake
"Sutherland (1989), Havens (1992)",Salmo rutta,Rhinichthys atratulus,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Holopedium gibberum,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Kelicottia bostoniensis,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Kelicottia longispina,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,fish fry,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Alona quadrangularis,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Diaphanosoma birgei,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia bostoniensis,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Kelicottia longispina,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella cochlearis,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Cyclops vernalis,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella cochlearis,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Diaptomus minutus,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Kelicottia bostoniensis,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Kelicottia longispina,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Daphnia catawba,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Mesocyclops edax,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Keratella cochlearis,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Keratella taurocephala,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Tropocyclops prasinus,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Bosmina longirostris,Rat Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,fish fry,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Gastropus hyptopus,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Gastropus stylifer,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Polyarthra major,Rat Lake
"Sutherland (1989), Havens (1992)",Salmo rutta,fish fry,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Conochiloides unicornis,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Polyarthra remata,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Kelicottia bostoniensis,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Kelicottia longispina,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Keratella cochlearis,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Keratella taurocephala,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Leptodora kindtii,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,copepod nauplii,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Holopedium gibberum,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Diaphanosoma birgei,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium inconspicuum,Rat Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium wisconsinense,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium inconspicuum,Rat Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium wisconsinense,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Cyclops vernalis,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Peridinium inconspicuum,Rat Lake
"Sutherland (1989), Havens (1992)",Cyclops vernalis,Peridinium wisconsinense,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Daphnia catawba,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Mesocyclops edax,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Tropocyclops prasinus,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,Leptodora kindtii,Rat Lake
"Sutherland (1989), Havens (1992)",Notemigonus crysoleucas,Leptodora kindtii,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Bosmina longirostris,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,copepod nauplii,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Gastropus hyptopus,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Gastropus stylifer,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Polyarthra major,Rat Lake
"Sutherland (1989), Havens (1992)",Notemigonus crysoleucas,copepod nauplii,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Conochiloides unicornis,Rat Lake
"Sutherland (1989), Havens (1992)",Pimephales promelas,Leptodora kindtii,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Polyarthra remata,Rat Lake
"Sutherland (1989), Havens (1992)",Pimephales promelas,copepod nauplii,Rat Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Synura sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Peridinium inconspicuum,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Peridinium wisconsinense,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,Holopedium gibberum,Rat Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Synura sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Notemigonus crysoleucas,Holopedium gibberum,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,Alona quadrangularis,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,Diaphanosoma birgei,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Kelicottia bostoniensis,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Kelicottia longispina,Rat Lake
"Sutherland (1989), Havens (1992)",Notemigonus crysoleucas,Alona quadrangularis,Rat Lake
"Sutherland (1989), Havens (1992)",Notemigonus crysoleucas,Diaphanosoma birgei,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,Cyclops vernalis,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Peridinium inconspicuum,Rat Lake
"Sutherland (1989), Havens (1992)",fish fry,Peridinium wisconsinense,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,Diaptomus minutus,Rat Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Synura sp.,Rat Lake
"Sutherland (1989), Havens (1992)",Notemigonus crysoleucas,Cyclops vernalis,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Keratella cochlearis,Rat Lake
"Sutherland (1989), Havens (1992)",Leptodora kindtii,Keratella taurocephala,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,Daphnia catawba,Rat Lake
"Sutherland (1989), Havens (1992)",Osmerus mordax,Mesocyclops edax,Rat Lake
"Sutherland (1989), Havens (1992)",Notemigonus crysoleucas,Diaptomus minutus,Rat Lake
