link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Rhinichthys atratulus,benthic detritus,Razorback Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Razorback Lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Razorback Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Razorback Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Oocyctis sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Razorback Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Razorback Lake
"Sutherland (1989), Havens (1992)",Cyclops scutifer,Gymnodinium palustre,Razorback Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Razorback Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Razorback Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Staurastrum sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Staurastrum sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Razorback Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Melosira sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas erosa,Razorback Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Razorback Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon bavaricum,Razorback Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon bavaricum,Razorback Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Tabellaria fenestrata,Razorback Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tabellaria fenestrata,Razorback Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus longus,Razorback Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Schroederia setigera,Razorback Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Melosira sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Razorback Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Melosira sp.,Razorback Lake
"Sutherland (1989), Havens (1992)",Daphnia ambigua,Cryptomonas erosa,Razorback Lake
