link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Alona costata,benthic detritus,Rock Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Keratella testudo,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Gymnodinium palustre,Rock Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Rock Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas sp.,Rock Lake
"Sutherland (1989), Havens (1992)",Ploesoma truncatum,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Ploesoma truncatum,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Rock Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Rock Lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon bavaricum,Rock Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon sp.,Rock Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Colletheca mutabilis,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Rock Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,copepod nauplii,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Colletheca mutabilis,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Diaptomus minutus,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Eucyclops agilis,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Alona costata,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Bosmina longirostris,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Gastropus stylifer,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Polyarthra vulgaris,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Ploesoma truncatum,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Kelicottia longispina,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Keratella serrulata,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Keratella taurocephala,Rock Lake
"Sutherland (1989), Havens (1992)",Eucyclops agilis,Peridinium inconspicuum,Rock Lake
