link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Russian Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish eggs,Russian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Russian Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Russian Lake
"Sutherland (1989), Havens (1992)",Lecane mira,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Lecane mira,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Russian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Russian Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysosphaerella longispina,Russian Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Russian Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Polyphemus pediculus,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,copepod nauplii,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Diaptomus minutus,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Synchaeta sp.,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish fry,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Polyphemus pediculus,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Chydorus sphaericus,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Bosmina longirostris,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Trichocerca multicrinis,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,copepod nauplii,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Gastropus stylifer,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Polyarthra major,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Lecane mira,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Kelicottia longispina,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Keratella taurocephala,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Diaptomus minutus,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Synchaeta sp.,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Chydorus sphaericus,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Bosmina longirostris,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Trichocerca multicrinis,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Gastropus stylifer,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Polyarthra major,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Lecane mira,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Kelicottia longispina,Russian Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,Keratella taurocephala,Russian Lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Polyphemus pediculus,Russian Lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,copepod nauplii,Russian Lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Chydorus sphaericus,Russian Lake
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Bosmina longirostris,Russian Lake
"Sutherland (1989), Havens (1992)",fish fry,Peridinium inconspicuum,Russian Lake
