link.citation,con.taxonomy,res.taxonomy,foodweb.name
Digel et al. (2014),Abax parallelepipedus,Abax parallelepipedus,SEW09
Digel et al. (2014),Lithobius sp.,Achipteria coleoptrata,SEW09
Digel et al. (2014),Lithobius curtipes {l},Achipteria coleoptrata,SEW09
Digel et al. (2014),Lithobius sp.,Agriotes aterrimus (juv),SEW09
Digel et al. (2014),Amaurobius sp. (juv),Agriotes aterrimus (juv),SEW09
Digel et al. (2014),Robertus lividus,Agriotes aterrimus (juv),SEW09
Digel et al. (2014),Macrargus rufus,Agriotes aterrimus (juv),SEW09
Digel et al. (2014),Lithobius curtipes {l},Agriotes aterrimus (juv),SEW09
Digel et al. (2014),Staphylinidae spec,Agriotes aterrimus (juv),SEW09
Digel et al. (2014),Lycosidae sp. (juv),Agriotes aterrimus (juv),SEW09
Digel et al. (2014),Euophrys herbigrada,Agriotes aterrimus (juv),SEW09
Digel et al. (2014),Lithobius sp.,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Notiophilus rufipes (juv),Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Habrocerus capillaricornis,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Othius sp. (juv) {m},Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Oxypoda annularis,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Quedius sp. (juv),Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Xantholininae sp. (juv),Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Amaurobius sp. (juv),Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Diplocephalus picinus,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Linyphiidae (juv),Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Microneta viaria,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Neobisium sp.,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Robertus lividus,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Tapinocyba insecta,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Macrargus rufus,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Lithobius curtipes {l},Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Campodea sp. {l},Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Staphylinidae spec,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Euophrys frontalis,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Salticidae sp. (juv),Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Lycosidae sp. (juv),Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),Euophrys herbigrada,Aleocharinae sp1 (juv),SEW09
Digel et al. (2014),omnivorous nematodes,algae,SEW09
Digel et al. (2014),Enchytraeidae,algae,SEW09
Digel et al. (2014),Carabodes ornatus,algae,SEW09
Digel et al. (2014),Campodea sp. {l},algae,SEW09
Digel et al. (2014),Lithobius sp.,Amaurobius sp. (juv),SEW09
Digel et al. (2014),Amaurobius sp. (juv),Amaurobius sp. (juv),SEW09
Digel et al. (2014),Lithobius curtipes {l},Amaurobius sp. (juv),SEW09
Digel et al. (2014),Abax parallelepipedus,Amaurobius sp. (juv),SEW09
Digel et al. (2014),Lycosidae sp. (juv),Amaurobius sp. (juv),SEW09
Digel et al. (2014),Isotomiella minor,amoebae,SEW09
Digel et al. (2014),Parisotoma notabilis,amoebae,SEW09
Digel et al. (2014),Dendrobaena octaedra,amoebae,SEW09
Digel et al. (2014),predacious nematodes,amoebae,SEW09
Digel et al. (2014),omnivorous nematodes,amoebae,SEW09
Digel et al. (2014),Enchytraeidae,amoebae,SEW09
Digel et al. (2014),Lithobius sp.,Athous sp. (juv),SEW09
Digel et al. (2014),Notiophilus rufipes (juv),Athous sp. (juv),SEW09
Digel et al. (2014),Habrocerus capillaricornis,Athous sp. (juv),SEW09
Digel et al. (2014),Othius sp. (juv) {m},Athous sp. (juv),SEW09
Digel et al. (2014),Quedius sp. (juv),Athous sp. (juv),SEW09
Digel et al. (2014),Xantholininae sp. (juv),Athous sp. (juv),SEW09
Digel et al. (2014),Amaurobius sp. (juv),Athous sp. (juv),SEW09
Digel et al. (2014),Diplocephalus picinus,Athous sp. (juv),SEW09
Digel et al. (2014),Microneta viaria,Athous sp. (juv),SEW09
Digel et al. (2014),Neobisium sp.,Athous sp. (juv),SEW09
Digel et al. (2014),Robertus lividus,Athous sp. (juv),SEW09
Digel et al. (2014),Tapinocyba insecta,Athous sp. (juv),SEW09
Digel et al. (2014),Macrargus rufus,Athous sp. (juv),SEW09
Digel et al. (2014),Lithobius curtipes {l},Athous sp. (juv),SEW09
Digel et al. (2014),Campodea sp. {l},Athous sp. (juv),SEW09
Digel et al. (2014),Staphylinidae spec,Athous sp. (juv),SEW09
Digel et al. (2014),Euophrys frontalis,Athous sp. (juv),SEW09
Digel et al. (2014),Salticidae sp. (juv),Athous sp. (juv),SEW09
Digel et al. (2014),Lycosidae sp. (juv),Athous sp. (juv),SEW09
Digel et al. (2014),Euophrys herbigrada,Athous sp. (juv),SEW09
Digel et al. (2014),Deuteraphorura inermis,bacteria,SEW09
Digel et al. (2014),Isotomiella minor,bacteria,SEW09
Digel et al. (2014),Parisotoma notabilis,bacteria,SEW09
Digel et al. (2014),Nanhermannia nana,bacteria,SEW09
Digel et al. (2014),Protaphorura sp.,bacteria,SEW09
Digel et al. (2014),bacterivorous nematodes,bacteria,SEW09
Digel et al. (2014),omnivorous nematodes,bacteria,SEW09
Digel et al. (2014),flagellates,bacteria,SEW09
Digel et al. (2014),ciliates,bacteria,SEW09
Digel et al. (2014),amoebae,bacteria,SEW09
Digel et al. (2014),Enchytraeidae,bacteria,SEW09
Digel et al. (2014),Julidae sp.,bacteria,SEW09
Digel et al. (2014),Othius sp. (juv) {m},bacterivorous nematodes,SEW09
Digel et al. (2014),Quedius sp. (juv),bacterivorous nematodes,SEW09
Digel et al. (2014),Tachyusa sp. (juv),bacterivorous nematodes,SEW09
Digel et al. (2014),Xantholininae sp. (juv),bacterivorous nematodes,SEW09
Digel et al. (2014),Hypoaspis aculeifer,bacterivorous nematodes,SEW09
Digel et al. (2014),Macrocheles cf. opacus aciculatus,bacterivorous nematodes,SEW09
Digel et al. (2014),Pergamasinae (juv) {xs},bacterivorous nematodes,SEW09
Digel et al. (2014),Trachytes aegrota,bacterivorous nematodes,SEW09
Digel et al. (2014),Uropoda minima,bacterivorous nematodes,SEW09
Digel et al. (2014),Uropoda minima (juv),bacterivorous nematodes,SEW09
Digel et al. (2014),Veigaia nemorensis,bacterivorous nematodes,SEW09
Digel et al. (2014),Veigaia sp. (juv),bacterivorous nematodes,SEW09
Digel et al. (2014),Oribatida sp. (juv),bacterivorous nematodes,SEW09
Digel et al. (2014),Microppia minus,bacterivorous nematodes,SEW09
Digel et al. (2014),Oppiella nova,bacterivorous nematodes,SEW09
Digel et al. (2014),predacious nematodes,bacterivorous nematodes,SEW09
Digel et al. (2014),omnivorous nematodes,bacterivorous nematodes,SEW09
Digel et al. (2014),Hypoaspis aculeifer (juv),bacterivorous nematodes,SEW09
Digel et al. (2014),Lasioseius lawrencei,bacterivorous nematodes,SEW09
Digel et al. (2014),Pergamasus norvegicus,bacterivorous nematodes,SEW09
Digel et al. (2014),Vulgarogamasus sp.,bacterivorous nematodes,SEW09
Digel et al. (2014),Suctobelbella sp.,bacterivorous nematodes,SEW09
Digel et al. (2014),Neanura muscorum,bacterivorous nematodes,SEW09
Digel et al. (2014),Parasitidae (juv) {s},bacterivorous nematodes,SEW09
Digel et al. (2014),Trachytes aegrota (juv) {s},bacterivorous nematodes,SEW09
Digel et al. (2014),Lithobius sp.,Brachyderinae sp.,SEW09
Digel et al. (2014),Amaurobius sp. (juv),Brachyderinae sp.,SEW09
Digel et al. (2014),Robertus lividus,Brachyderinae sp.,SEW09
Digel et al. (2014),Lithobius curtipes {l},Brachyderinae sp.,SEW09
Digel et al. (2014),Abax parallelepipedus,Brachyderinae sp.,SEW09
Digel et al. (2014),Lycosidae sp. (juv),Brachyderinae sp.,SEW09
Digel et al. (2014),Lithobius sp.,Campodea sp. {l},SEW09
Digel et al. (2014),Notiophilus rufipes (juv),Campodea sp. {l},SEW09
Digel et al. (2014),Othius sp. (juv) {m},Campodea sp. {l},SEW09
Digel et al. (2014),Amaurobius sp. (juv),Campodea sp. {l},SEW09
Digel et al. (2014),Robertus lividus,Campodea sp. {l},SEW09
Digel et al. (2014),Macrargus rufus,Campodea sp. {l},SEW09
Digel et al. (2014),Lithobius curtipes {l},Campodea sp. {l},SEW09
Digel et al. (2014),Campodea sp. {l},Campodea sp. {l},SEW09
Digel et al. (2014),Staphylinidae spec,Campodea sp. {l},SEW09
Digel et al. (2014),Euophrys frontalis,Campodea sp. {l},SEW09
Digel et al. (2014),Lycosidae sp. (juv),Campodea sp. {l},SEW09
Digel et al. (2014),Euophrys herbigrada,Campodea sp. {l},SEW09
Digel et al. (2014),Lithobius sp.,Carabodes ornatus,SEW09
Digel et al. (2014),Lithobius curtipes {l},Carabodes ornatus,SEW09
Digel et al. (2014),Isotomiella minor,ciliates,SEW09
Digel et al. (2014),Parisotoma notabilis,ciliates,SEW09
Digel et al. (2014),Dendrobaena octaedra,ciliates,SEW09
Digel et al. (2014),predacious nematodes,ciliates,SEW09
Digel et al. (2014),omnivorous nematodes,ciliates,SEW09
Digel et al. (2014),Enchytraeidae,ciliates,SEW09
Digel et al. (2014),Lithobius sp.,Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Notiophilus rufipes (juv),Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Habrocerus capillaricornis,Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Othius sp. (juv) {m},Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Oxypoda annularis,Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Quedius sp. (juv),Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Tachyusa sp. (juv),Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Xantholininae sp. (juv),Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Amaurobius sp. (juv),Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Diplocephalus picinus,Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Linyphiidae (juv),Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Microneta viaria,Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Neobisium sp.,Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Robertus lividus,Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Tapinocyba insecta,Dalopius marginatus (juv) {m},SEW09
Digel et al. (2014),Pergamasus norvegicus,Dalopius marginatus (juv) {m},SEW09
