link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Safford Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Safford Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Safford Lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Safford Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Safford Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Safford Lake
"Sutherland (1989), Havens (1992)",Perca flavescens,fish eggs,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Safford Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Safford Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Safford Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Safford Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Euastrum sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Fragilaria sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas erosa,Safford Lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,Cryptomonas ovata,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Euastrum sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Fragilaria sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Safford Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Safford Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Chrysosphaerella longispina,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Schroederia setigera,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Melosira sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Safford Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Safford Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Safford Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chrysosphaerella longispina,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Asterionella formosa,Safford Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Euastrum sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Safford Lake
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas erosa,Safford Lake
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas ovata,Safford Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Fragilaria sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Melosira sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Safford Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Safford Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Safford Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas erosa,Safford Lake
"Sutherland (1989), Havens (1992)",Keratella crassa,Cryptomonas ovata,Safford Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Scenedesmus sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tabellaria fenestrata,Safford Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Nitzschia sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Chrysosphaerella longispina,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Safford Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Nitzschia sp.,Safford Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Melosira sp.,Safford Lake
