link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Sand Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Sand Lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,benthic detritus,Sand Lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Sand Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Sand Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Sand Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Sand Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Oocyctis sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Sand Lake
"Sutherland (1989), Havens (1992)",Cyclops bicuspidatus,Gymnodinium palustre,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Sand Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Sand Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Sand Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon bavaricum,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Sphaerocystis schroeteri,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Navicula sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Schroederia setigera,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Anabaena sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Botryococcus braunii,Sand Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Sand Lake
"Sutherland (1989), Havens (1992)",fish fry,Zygnema sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Anabaena sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas erosa,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas ovata,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Botryococcus braunii,Sand Lake
"Sutherland (1989), Havens (1992)",fish fry,Gymnodinium palustre,Sand Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Merismopedia punctata,Sand Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Sand Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Sand Lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,Zygnema sp.,Sand Lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,Gymnodinium palustre,Sand Lake
