link.citation,con.taxonomy,res.taxonomy,foodweb.name
Warren (1989),Procladius sagittalis,Chironomidae indet.,Skipwith Pond
Warren (1989),Procladius sagittalis,Tanytarsus bruchonidae,Skipwith Pond
Warren (1989),Procladius sagittalis,Glyptotendipes pallens,Skipwith Pond
Warren (1989),Procladius sagittalis,Chironomus dorsalis,Skipwith Pond
Warren (1989),Procladius sagittalis,Corynoneura scutellata,Skipwith Pond
Warren (1989),Procladius sagittalis,Acanthocyclops vernalis,Skipwith Pond
Warren (1989),Procladius sagittalis,Chydorus latus,Skipwith Pond
Warren (1989),Procladius sagittalis,Scapaloberis mucronata,Skipwith Pond
Warren (1989),Procladius sagittalis,Enchytraidae sp.,Skipwith Pond
Warren (1989),Limnephilus marmoratus,Chironomidae indet.,Skipwith Pond
Warren (1989),Limnephilus marmoratus,Tanytarsus bruchonidae,Skipwith Pond
Warren (1989),Limnephilus marmoratus,Glyptotendipes pallens,Skipwith Pond
Warren (1989),Limnephilus marmoratus,Chironomus dorsalis,Skipwith Pond
Warren (1989),Limnephilus marmoratus,Corynoneura scutellata,Skipwith Pond
Warren (1989),Limnephilus marmoratus,Lumbriculus variegatus,Skipwith Pond
Warren (1989),Limnephilus marmoratus,Enchytraidae sp.,Skipwith Pond
Warren (1989),Holocentropus picicornis,Chironomidae indet.,Skipwith Pond
Warren (1989),Holocentropus picicornis,Tanytarsus bruchonidae,Skipwith Pond
Warren (1989),Holocentropus picicornis,Glyptotendipes pallens,Skipwith Pond
Warren (1989),Holocentropus picicornis,Chironomus dorsalis,Skipwith Pond
Warren (1989),Holocentropus picicornis,Corynoneura scutellata,Skipwith Pond
Warren (1989),Holocentropus picicornis,Procladius sagittalis,Skipwith Pond
Warren (1989),Holocentropus picicornis,Hydroporus erythrocephalus,Skipwith Pond
Warren (1989),Holocentropus picicornis,Sigara semistriata,Skipwith Pond
Warren (1989),Holocentropus picicornis,Arctocorisa germari,Skipwith Pond
Warren (1989),Holocentropus picicornis,Hesperocorixa sahlbergi,Skipwith Pond
Warren (1989),Holocentropus picicornis,Hesperocorixa linnei,Skipwith Pond
Warren (1989),Holocentropus picicornis,Corixa punctata,Skipwith Pond
Warren (1989),Holocentropus picicornis,Corixa dentipes,Skipwith Pond
Warren (1989),Holocentropus picicornis,Callicorixa praeusta,Skipwith Pond
