link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,South Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,South Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,South Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,South Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,South Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,South Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,South Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas erosa,South Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,South Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,South Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Scenedesmus sp.,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Closterium sp.,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Anabaena sp.,South Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas erosa,South Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas ovata,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,South Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,South Lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,South Lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,South Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,South Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,South Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,nanoflagellates ,South Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,nanoflagellates ,South Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,nanoflagellates ,South Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,nanoflagellates ,South Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,nanoflagellates ,South Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,nanoflagellates ,South Lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,nanoflagellates ,South Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,nanoflagellates ,South Lake
