link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Squaw Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Oocyctis sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Squaw Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Squaw Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas erosa,Squaw Lake
"Sutherland (1989), Havens (1992)",Kelicottia longispina,Cryptomonas ovata,Squaw Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Squaw Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Squaw Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Mallomonas sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon bavaricum,Squaw Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dinobryon sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Dinobryon bavaricum,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Dinobryon sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Sphaerocystis schroeteri,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Squaw Lake
"Sutherland (1989), Havens (1992)",Epishura lacustris,Gymnodinium palustre,Squaw Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dictyosphaerium pulchellum,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Dictyosphaerium pulchellum,Squaw Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tetraedron minimum,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Tetraedron minimum,Squaw Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Schroederia setigera,Squaw Lake
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Schroederia setigera,Squaw Lake
