link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ilyocryptus spinifer,benthic detritus,Stink Lake
"Sutherland (1989), Havens (1992)",Luxilus cornutus,benthic detritus,Stink Lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,benthic detritus,Stink Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Stink Lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Stink Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Oocyctis sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Oocyctis sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Keratella cochlearis,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Kelicottia bostoniensis,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Mallomonas sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Mallomonas sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Euastrum sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Euastrum sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Coelastrum cambricum,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Euastrum sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Sphaerocystis schroeteri,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Tabellaria fenestrata,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Quadrigula closterioides,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Spondylosium planum,Stink Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Conochiloides unicornis,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Coelastrum cambricum,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Dictyosphaerium pulchellum,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Tetraedron caudatum,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Sphaerocystis schroeteri,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tabellaria fenestrata,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Coelastrum cambricum,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Melosira sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Quadrigula closterioides,Stink Lake
"Sutherland (1989), Havens (1992)",Ilyocryptus spinifer,Tabellaria fenestrata,Stink Lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Polyarthra vulgaris,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Spondylosium planum,Stink Lake
"Sutherland (1989), Havens (1992)",Trichocerca porcellus,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Trichocerca porcellus,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Pediastrum tetras,Stink Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Dictyosphaerium pulchellum,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Tetraedron caudatum,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Quadrigula closterioides,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Spondylosium planum,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Melosira sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Ilyocryptus spinifer,Melosira sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dictyosphaerium pulchellum,Stink Lake
"Sutherland (1989), Havens (1992)",Daphnia catawba,Pediastrum tetras,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedron caudatum,Stink Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Euastrum sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Polyarthra euryptera,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Melosira sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Gastropus hyptopus,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Gastropus hyptopus,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Pediastrum tetras,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Elakatrothrix gelatinosa,Stink Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Stink Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Stink Lake
"Sutherland (1989), Havens (1992)",Diaptomus sicilis,Scenedesmus sp.,Stink Lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas erosa,Stink Lake
