link.citation,con.taxonomy,res.taxonomy,foodweb.name
Legagneux et al. (2014),Rangifer tarandus,mosses,Svalbard
Legagneux et al. (2014),Rangifer tarandus,lichens,Svalbard
Legagneux et al. (2014),Rangifer tarandus,grasses and sedges,Svalbard
Legagneux et al. (2014),Rangifer tarandus,forbs,Svalbard
Legagneux et al. (2014),Rangifer tarandus,shrubs,Svalbard
Legagneux et al. (2014),Lagopus spec. ,shrubs,Svalbard
Legagneux et al. (2014),Lagopus spec. ,arthropods,Svalbard
Legagneux et al. (2014),waterfowl,mosses,Svalbard
Legagneux et al. (2014),waterfowl,grasses and sedges,Svalbard
Legagneux et al. (2014),waterfowl,forbs,Svalbard
Legagneux et al. (2014),waterfowl,shrubs,Svalbard
Legagneux et al. (2014),waterfowl,arthropods,Svalbard
Legagneux et al. (2014),passerines,forbs,Svalbard
Legagneux et al. (2014),passerines,arthropods,Svalbard
Legagneux et al. (2014),shorebirds,arthropods,Svalbard
Legagneux et al. (2014),Vulpes lagopus,waterfowl,Svalbard
Legagneux et al. (2014),Vulpes lagopus,Lagopus spec. ,Svalbard
Legagneux et al. (2014),Larus spec.,Lagopus spec. ,Svalbard
Legagneux et al. (2014),Larus spec.,shorebirds,Svalbard
Legagneux et al. (2014),Larus spec.,waterfowl,Svalbard
Legagneux et al. (2014),Larus spec.,passerines,Svalbard
