link.citation,con.taxonomy,res.taxonomy,foodweb.name
Jonsson et al. (2005) ,Ascomorpha eucadis,Cryptomonas sp. 1,Tuesday Lake 1984
Jonsson et al. (2005) ,Ascomorpha eucadis,Chroococcus dispersus,Tuesday Lake 1984
Jonsson et al. (2005) ,Ascomorpha eucadis,Unclassified flagellates,Tuesday Lake 1984
Jonsson et al. (2005) ,Ascomorpha eucadis,Chromulina sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Ascomorpha eucadis,Selenastrum minutum,Tuesday Lake 1984
Jonsson et al. (2005) ,Ascomorpha eucadis,Trachelomonas sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Synchaeta sp.,Cryptomonas sp. 1,Tuesday Lake 1984
Jonsson et al. (2005) ,Synchaeta sp.,Chroococcus dispersus,Tuesday Lake 1984
Jonsson et al. (2005) ,Synchaeta sp.,Unclassified flagellates,Tuesday Lake 1984
Jonsson et al. (2005) ,Synchaeta sp.,Chromulina sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Synchaeta sp.,Selenastrum minutum,Tuesday Lake 1984
Jonsson et al. (2005) ,Synchaeta sp.,Trachelomonas sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Cryptomonas sp. 1,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Cryptomonas sp. 2,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Chroococcus dispersus,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Dictyosphaerium pulchellum,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Dinobryon sociale,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Glenodinium quadridens,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Unclassified flagellates,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Peridinium pulsillum,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Chromulina sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Selenastrum minutum,Tuesday Lake 1984
Jonsson et al. (2005) ,Bosmina longirostris,Trachelomonas sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Conochilus (solitary),Cryptomonas sp. 1,Tuesday Lake 1984
Jonsson et al. (2005) ,Conochilus (solitary),Chroococcus dispersus,Tuesday Lake 1984
Jonsson et al. (2005) ,Conochilus (solitary),Closteriopsis longissimus,Tuesday Lake 1984
Jonsson et al. (2005) ,Conochilus (solitary),Unclassified flagellates,Tuesday Lake 1984
Jonsson et al. (2005) ,Conochilus (solitary),Chromulina sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Conochilus (solitary),Selenastrum minutum,Tuesday Lake 1984
Jonsson et al. (2005) ,Conochilus (solitary),Trachelomonas sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Ascomorpha eucadis,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Synchaeta sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Conochilus (solitary),Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Cyclops varians rubellus,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Filinia longispina,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Conochiloides dossuarius,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Gastropus stylifer,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Kellicottia sp.,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Keratella cochlearis,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Keratella testudo,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Leptodiaptomus siciloides,Tuesday Lake 1984
Jonsson et al. (2005) ,Cyclops varians rubellus,Ploesoma sp.,Tuesday Lake 1984
