link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Oocyctis sp.,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Gymnodinium palustre,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas sp.,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas erosa,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,Cryptomonas ovata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas erosa,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,Cryptomonas ovata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas erosa,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas ovata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Dinobryon sp.,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sp.,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Sphaerocystis schroeteri,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Schroederia setigera,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Mallomonas akrokomos,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas akrokomos,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Arthrodesmus incus,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Arthrodesmus incus,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Crucigenia quadrata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Crucigenia tetrapaedia,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Crucigenia quadrata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Crucigenia tetrapaedia,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas erosa,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Cryptomonas ovata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Botryococcus braunii,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Gymnodinium palustre,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Botryococcus braunii,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,Merismopedia tenuissima,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia tenuissima,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Salvelinus fontinalis,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Conochiloides dossuarius,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Bosmina longirostris,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Conochiloides dossuarius,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Trichocerca multicrinis,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Bosmina longirostris,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Polyarthra major,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Trichocerca multicrinis,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,copepod nauplii,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,Ictalurus nebulosus,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Polyarthra major,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Holopedium gibberum,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Daphnia pulex,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Keratella taurocephala,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Mesocyclops edax,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Tropocyclops prasinus,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Conochiloides dossuarius,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Bosmina longirostris,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Trichocerca multicrinis,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Polyarthra major,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Salvelinus fontinalis,fish fry,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Keratella taurocephala,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Peridinium inconspicuum,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium inconspicuum,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,nanoflagellates ,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,nanoflagellates ,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",fish fry,Peridinium inconspicuum,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Trichocerca multicrinis,nanoflagellates ,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,nanoflagellates ,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,nanoflagellates ,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",Daphnia pulex,nanoflagellates ,Twelfth Tee Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,nanoflagellates ,Twelfth Tee Lake
