link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Twin Lake East
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Twin Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Twin Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Twin Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Twin Lake East
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Twin Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Twin Lake East
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia tenuissima,Twin Lake East
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Twin Lake East
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Twin Lake East
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Polyphemus pediculus,Twin Lake East
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,copepod nauplii,Twin Lake East
"Sutherland (1989), Havens (1992)",Keratella taurocephala,nanoflagellates ,Twin Lake East
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Bosmina longirostris,Twin Lake East
"Sutherland (1989), Havens (1992)",Bosmina longirostris,nanoflagellates ,Twin Lake East
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,nanoflagellates ,Twin Lake East
"Sutherland (1989), Havens (1992)",copepod nauplii,nanoflagellates ,Twin Lake East
