link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Acantholeberis curvirostris,benthic detritus,Twin Lake West
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Oocyctis sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Acantholeberis curvirostris,Zygnema sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Lepadella triptera,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Lepadella triptera,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Mallomonas sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Staurastrum sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Dinobryon sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Tabellaria fenestrata,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Navicula sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Schroederia setigera,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Staurastrum sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Asterionella formosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Bosmina longirostris,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Acantholeberis curvirostris,Tabellaria fenestrata,Twin Lake West
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Conochiloides dossuarius,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tabellaria fenestrata,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Navicula sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Acantholeberis curvirostris,Asterionella formosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Schroederia setigera,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Closterium sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Asterionella formosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Closterium sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus leptopus,Merismopedia punctata,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Closterium sp.,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Merismopedia punctata,Twin Lake West
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Twin Lake West
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Twin Lake West
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Polyphemus pediculus,Twin Lake West
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,copepod nauplii,Twin Lake West
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Acantholeberis curvirostris,Twin Lake West
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Chydorus sphaericus,Twin Lake West
"Sutherland (1989), Havens (1992)",Polyphemus pediculus,Bosmina longirostris,Twin Lake West
