link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Ictalurus nebulosus,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Diaphanosoma birgei,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Daphnia ambigua,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",fish fry,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Polyarthra major,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Polyarthra remata,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Bosmina longirostris,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Ceriodaphnia quadrangula,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",Catostomus commersoni,benthic detritus,Whipple Lake
"Sutherland (1989), Havens (1992)",fish fry,fish eggs,Whipple Lake
"Sutherland (1989), Havens (1992)",Lepomis gibbosus,fish eggs,Whipple Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Oocyctis sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Mallomonas sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Sphaerocystis schroeteri,Whipple Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tetraedron minimum,Whipple Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cosmarium sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Dinobryon sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Sphaerocystis schroeteri,Whipple Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Aphanothece sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Tetraedron minimum,Whipple Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Cosmarium sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Holopedium gibberum,Aphanothece sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",fish fry,Cosmarium sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Chrosomus eos,Cosmarium sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Semotilus atromaculatus,Cosmarium sp.,Whipple Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,copepod nauplii,Whipple Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Whipple Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Diaptomus minutus,Whipple Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Daphnia ambigua,Whipple Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Mesocyclops edax,Whipple Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Whipple Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Daphnia ambigua,Whipple Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Whipple Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Tropocyclops prasinus,Whipple Lake
"Sutherland (1989), Havens (1992)",Tropocyclops prasinus,Ceriodaphnia quadrangula,Whipple Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Tropocyclops prasinus,Whipple Lake
