link.citation,con.taxonomy,res.taxonomy,foodweb.name
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,benthic detritus,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Oocyctis sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas erosa,Wolf Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Cryptomonas ovata,Wolf Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gymnodinium palustre,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Lyngbya sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Mallomonas sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Staurastrum sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon bavaricum,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Dinobryon sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Tabellaria fenestrata,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Navicula sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Spondylosium planum,Wolf Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas erosa,Wolf Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Cryptomonas ovata,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Schroederia setigera,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Asterionella formosa,Wolf Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas erosa,Wolf Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Cryptomonas ovata,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cyclotella sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Diceras sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas erosa,Wolf Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Cryptomonas ovata,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas erosa,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Cryptomonas ovata,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Merismopedia punctata,Wolf Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas erosa,Wolf Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Cryptomonas ovata,Wolf Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,copepod nauplii,Wolf Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Diaptomus minutus,Wolf Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Synchaeta sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Mesocyclops edax,Wolf Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Chydorus sphaericus,Wolf Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Gastropus stylifer,Wolf Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Keratella taurocephala,Wolf Lake
"Sutherland (1989), Havens (1992)",Keratella taurocephala,Chlamydomonas sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Gastropus stylifer,Chlamydomonas sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Chydorus sphaericus,Chlamydomonas sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Mesocyclops edax,Peridinium inconspicuum,Wolf Lake
"Sutherland (1989), Havens (1992)",Synchaeta sp.,Chlamydomonas sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",Diaptomus minutus,Chlamydomonas sp.,Wolf Lake
"Sutherland (1989), Havens (1992)",copepod nauplii,Chlamydomonas sp.,Wolf Lake
