link.citation,con.taxonomy,res.taxonomy,foodweb.name
Legagneux et al. (2014),Falco spec.,shorebirds,Yamal
Legagneux et al. (2014),Falco spec.,shorebirds,Yamal
Legagneux et al. (2014),lemmings,mosses,Yamal
Legagneux et al. (2014),lemmings,lichens,Yamal
Legagneux et al. (2014),lemmings,grasses and sedges,Yamal
Legagneux et al. (2014),lemmings,forbs,Yamal
Legagneux et al. (2014),lemmings,shrubs,Yamal
Legagneux et al. (2014),Microtus oeconomus,mosses,Yamal
Legagneux et al. (2014),Microtus oeconomus,lichens,Yamal
Legagneux et al. (2014),Microtus oeconomus,grasses and sedges,Yamal
Legagneux et al. (2014),Microtus oeconomus,forbs,Yamal
Legagneux et al. (2014),Microtus oeconomus,shrubs,Yamal
Legagneux et al. (2014),Lepus arcticus,mosses,Yamal
Legagneux et al. (2014),Lepus arcticus,lichens,Yamal
Legagneux et al. (2014),Lepus arcticus,grasses and sedges,Yamal
Legagneux et al. (2014),Lepus arcticus,forbs,Yamal
Legagneux et al. (2014),Lepus arcticus,shrubs,Yamal
Legagneux et al. (2014),Rangifer tarandus,mosses,Yamal
Legagneux et al. (2014),Rangifer tarandus,lichens,Yamal
Legagneux et al. (2014),Rangifer tarandus,grasses and sedges,Yamal
Legagneux et al. (2014),Rangifer tarandus,forbs,Yamal
Legagneux et al. (2014),Rangifer tarandus,shrubs,Yamal
Legagneux et al. (2014),Lagopus spec. ,shrubs,Yamal
Legagneux et al. (2014),Lagopus spec. ,arthropods,Yamal
Legagneux et al. (2014),waterfowl,mosses,Yamal
Legagneux et al. (2014),waterfowl,lichens,Yamal
Legagneux et al. (2014),waterfowl,grasses and sedges,Yamal
Legagneux et al. (2014),waterfowl,shrubs,Yamal
Legagneux et al. (2014),passerines,forbs,Yamal
Legagneux et al. (2014),passerines,arthropods,Yamal
Legagneux et al. (2014),shorebirds,arthropods,Yamal
Legagneux et al. (2014),Falco spec.,Lagopus spec. ,Yamal
Legagneux et al. (2014),Mustela erminea,lemmings,Yamal
Legagneux et al. (2014),Mustela erminea,Microtus oeconomus,Yamal
Legagneux et al. (2014),Vulpes lagopus,lemmings,Yamal
Legagneux et al. (2014),Vulpes lagopus,Microtus oeconomus,Yamal
Legagneux et al. (2014),Vulpes lagopus,Lepus arcticus,Yamal
Legagneux et al. (2014),Vulpes lagopus,Lagopus spec. ,Yamal
Legagneux et al. (2014),Vulpes lagopus,waterfowl,Yamal
Legagneux et al. (2014),Vulpes lagopus,shorebirds,Yamal
Legagneux et al. (2014),Vulpes lagopus,passerines,Yamal
Legagneux et al. (2014),Vulpes vulpes,lemmings,Yamal
Legagneux et al. (2014),Vulpes vulpes,Microtus oeconomus,Yamal
Legagneux et al. (2014),Vulpes vulpes,Lepus arcticus,Yamal
Legagneux et al. (2014),Vulpes vulpes,waterfowl,Yamal
Legagneux et al. (2014),Vulpes vulpes,passerines,Yamal
Legagneux et al. (2014),Vulpes vulpes,shorebirds,Yamal
Legagneux et al. (2014),Gulo gulo,lemmings,Yamal
Legagneux et al. (2014),Gulo gulo,Lepus arcticus,Yamal
Legagneux et al. (2014),Gulo gulo,Rangifer tarandus,Yamal
Legagneux et al. (2014),Stercocarius spec.,lemmings,Yamal
Legagneux et al. (2014),Stercocarius spec.,Microtus oeconomus,Yamal
Legagneux et al. (2014),Stercocarius spec.,arthropods,Yamal
Legagneux et al. (2014),Stercocarius spec.,passerines,Yamal
Legagneux et al. (2014),Larus spec.,lemmings,Yamal
Legagneux et al. (2014),Larus spec.,Microtus oeconomus,Yamal
Legagneux et al. (2014),Larus spec.,Lepus arcticus,Yamal
Legagneux et al. (2014),Larus spec.,Lagopus spec. ,Yamal
Legagneux et al. (2014),Larus spec.,waterfowl,Yamal
Legagneux et al. (2014),Buteo lagopus,lemmings,Yamal
Legagneux et al. (2014),Buteo lagopus,Microtus oeconomus,Yamal
Legagneux et al. (2014),Buteo lagopus,Lagopus spec. ,Yamal
Legagneux et al. (2014),Buteo lagopus,passerines,Yamal
Legagneux et al. (2014),Falco spec.,lemmings,Yamal
Legagneux et al. (2014),Falco spec.,Microtus oeconomus,Yamal
