link.citation,con.taxonomy,res.taxonomy,foodweb.name
Cohen et al. (2009),Lutra lutra,Anguilla anguilla,Ythan Estuary
Cohen et al. (2009),Lutra lutra,Pholis gunnellus,Ythan Estuary
Cohen et al. (2009),Lutra lutra,Zoarces viviparus,Ythan Estuary
Cohen et al. (2009),Lutra lutra,Myoxocephalus scorpius,Ythan Estuary
Cohen et al. (2009),Lutra lutra,Salmo trutta,Ythan Estuary
Cohen et al. (2009),Phalacrocorax carbo,Anguilla anguilla,Ythan Estuary
Cohen et al. (2009),Phalacrocorax carbo,Pollachius virens,Ythan Estuary
Cohen et al. (2009),Phalacrocorax carbo,Ammodytes tobianus,Ythan Estuary
Cohen et al. (2009),Phalacrocorax carbo,Zoarces viviparus,Ythan Estuary
Cohen et al. (2009),Phalacrocorax carbo,Pomatoschistus microps,Ythan Estuary
Cohen et al. (2009),Phalacrocorax carbo,Platichthys flesus,Ythan Estuary
Cohen et al. (2009),Phalacrocorax carbo,Salmo trutta,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Anguilla anguilla,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Pollachius virens,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Ammodytes tobianus,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Pholis gunnellus,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Zoarces viviparus,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Pomatoschistus microps,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Myoxocephalus scorpius,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Platichthys flesus,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Salmo trutta,Ythan Estuary
Cohen et al. (2009),Ardea cinerea,Carcinus maenas,Ythan Estuary
Cohen et al. (2009),Cygnus olor,Enteromorpha,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Carcinus maenas,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Hydrobia ulvae,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Ostracods,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Corophium volutator,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Nereis diversicolor,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Littorina littorea,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Macoma balthica,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Mytilus edulis,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Cerastoderma edule,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Acarina,Ythan Estuary
Cohen et al. (2009),Tadorna tadorna,Enteromorpha,Ythan Estuary
Cohen et al. (2009),Anas penelope,Enteromorpha,Ythan Estuary
Cohen et al. (2009),Somateria mollissima,Crangon crangon,Ythan Estuary
Cohen et al. (2009),Somateria mollissima,Carcinus maenas,Ythan Estuary
Cohen et al. (2009),Somateria mollissima,Littorina littorea,Ythan Estuary
Cohen et al. (2009),Somateria mollissima,Mytilus edulis,Ythan Estuary
Cohen et al. (2009),Somateria mollissima (juvenile),Crangon crangon,Ythan Estuary
Cohen et al. (2009),Somateria mollissima (juvenile),Hydrobia ulvae,Ythan Estuary
Cohen et al. (2009),Somateria mollissima (juvenile),Corophium volutator,Ythan Estuary
Cohen et al. (2009),Somateria mollissima (juvenile),Gammarus spp.,Ythan Estuary
Cohen et al. (2009),Somateria mollissima (juvenile),Nereis diversicolor,Ythan Estuary
Cohen et al. (2009),Somateria mollissima (juvenile),Littorina littorea,Ythan Estuary
Cohen et al. (2009),Somateria mollissima (juvenile),Macoma balthica,Ythan Estuary
Cohen et al. (2009),Somateria mollissima (juvenile),Mytilus edulis,Ythan Estuary
Cohen et al. (2009),Haematopus ostralegus,Hydrobia ulvae,Ythan Estuary
Cohen et al. (2009),Haematopus ostralegus,Corophium volutator,Ythan Estuary
Cohen et al. (2009),Haematopus ostralegus,Nereis diversicolor,Ythan Estuary
Cohen et al. (2009),Haematopus ostralegus,Littorina littorea,Ythan Estuary
Cohen et al. (2009),Haematopus ostralegus,Macoma balthica,Ythan Estuary
Cohen et al. (2009),Haematopus ostralegus,Mytilus edulis,Ythan Estuary
Cohen et al. (2009),Charadrius hiaticula,Neomysis integer,Ythan Estuary
Cohen et al. (2009),Charadrius hiaticula,Gammarus spp.,Ythan Estuary
Cohen et al. (2009),Charadrius hiaticula,Nereis diversicolor,Ythan Estuary
Cohen et al. (2009),Charadrius hiaticula,Littorina littorea,Ythan Estuary
Cohen et al. (2009),Pluvialis apricaria,Hydrobia ulvae,Ythan Estuary
Cohen et al. (2009),Pluvialis apricaria,Corophium volutator,Ythan Estuary
Cohen et al. (2009),Pluvialis apricaria,Gammarus spp.,Ythan Estuary
Cohen et al. (2009),Pluvialis apricaria,Nereis diversicolor,Ythan Estuary
Cohen et al. (2009),Pluvialis apricaria,Littorina littorea,Ythan Estuary
Cohen et al. (2009),Pluvialis squatarola,Corophium volutator,Ythan Estuary
Cohen et al. (2009),Pluvialis squatarola,Nereis diversicolor,Ythan Estuary
Cohen et al. (2009),Vanellus vanellus,Hydrobia ulvae,Ythan Estuary
