link.citation,con.taxonomy,res.taxonomy,foodweb.name
Legagneux et al. (2014),lemmings,mosses,Zackenberg
Legagneux et al. (2014),lemmings,lichens,Zackenberg
Legagneux et al. (2014),lemmings,grasses and sedges,Zackenberg
Legagneux et al. (2014),lemmings,forbs,Zackenberg
Legagneux et al. (2014),lemmings,shrubs,Zackenberg
Legagneux et al. (2014),Lepus arcticus,mosses,Zackenberg
Legagneux et al. (2014),Lepus arcticus,forbs,Zackenberg
Legagneux et al. (2014),Lepus arcticus,shrubs,Zackenberg
Legagneux et al. (2014),Ovibos moschatus,mosses,Zackenberg
Legagneux et al. (2014),Ovibos moschatus,lichens,Zackenberg
Legagneux et al. (2014),Ovibos moschatus,grasses and sedges,Zackenberg
Legagneux et al. (2014),Ovibos moschatus,forbs,Zackenberg
Legagneux et al. (2014),Ovibos moschatus,shrubs,Zackenberg
Legagneux et al. (2014),Lagopus spec. ,shrubs,Zackenberg
Legagneux et al. (2014),Lagopus spec. ,arthropods,Zackenberg
Legagneux et al. (2014),waterfowl,mosses,Zackenberg
Legagneux et al. (2014),waterfowl,grasses and sedges,Zackenberg
Legagneux et al. (2014),waterfowl,forbs,Zackenberg
Legagneux et al. (2014),waterfowl,shrubs,Zackenberg
Legagneux et al. (2014),waterfowl,arthropods,Zackenberg
Legagneux et al. (2014),passerines,forbs,Zackenberg
Legagneux et al. (2014),passerines,arthropods,Zackenberg
Legagneux et al. (2014),Bubo scandiacus,Lagopus spec. ,Zackenberg
Legagneux et al. (2014),shorebirds,arthropods,Zackenberg
Legagneux et al. (2014),Mustela erminea,lemmings,Zackenberg
Legagneux et al. (2014),Vulpes lagopus,lemmings,Zackenberg
Legagneux et al. (2014),Vulpes lagopus,Lepus arcticus,Zackenberg
Legagneux et al. (2014),Vulpes lagopus,Lagopus spec. ,Zackenberg
Legagneux et al. (2014),Vulpes lagopus,waterfowl,Zackenberg
Legagneux et al. (2014),Vulpes lagopus,passerines,Zackenberg
Legagneux et al. (2014),Stercocarius spec.,lemmings,Zackenberg
Legagneux et al. (2014),Stercocarius spec.,shorebirds,Zackenberg
Legagneux et al. (2014),Stercocarius spec.,arthropods,Zackenberg
Legagneux et al. (2014),Stercocarius spec.,passerines,Zackenberg
Legagneux et al. (2014),Bubo scandiacus,Mustela erminea,Zackenberg
Legagneux et al. (2014),Bubo scandiacus,lemmings,Zackenberg
Legagneux et al. (2014),Bubo scandiacus,passerines,Zackenberg
