link.citation,con.taxonomy,res.taxonomy,foodweb.name,,,,,,
Cattin Blandenier (2004),Vulpes vulpes,Tipulidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Coleoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Araneidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Vulpes vulpes,Tettigoniidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Vulpes vulpes,Acrididae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Stilicus rufipes,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Trogophloeus corticinus,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Lepidoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Lycosidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Vulpes vulpes,Conocephalus dorsalis,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Liocranidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Aphtona lutescens,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Hypostenus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Pisaura mirabilis,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",,,,,,
