link.citation,con.taxonomy,res.taxonomy,foodweb.name
Cattin Blandenier (2004),Vulpes vulpes,Tipulidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Araneidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Vulpes vulpes,Tetrix sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Vulpes vulpes,Lithobius piceus,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Mangora acalypha,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Aleocharinae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Anacaena limbata,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Hypocyphtus discoideus,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Thanatus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Trichoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Salticidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Vulpes vulpes,Conocephalus dorsalis,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Delphacidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Eupterygini,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Philodromidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Jassidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Hemistenus flavipes,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Lepidoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Culex sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Parastenus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Vulpes vulpes,Oligochaeta,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Brachycera,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Rhagionidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Limoniidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Vulpes vulpes,Triturus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Vulpes vulpes,Caelifera,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Myrmarachne formicaria ,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Zelotes sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Pardosa sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Lithobius sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Robertus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Blattodea,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Staphylininae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Evarcha sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Liocranidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Lithobius sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Tibellus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Ichneumonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Robertus insignis,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Pirata sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Staphylinidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Rana temporaria temporaria,Thripomorpha verralli,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Xysticus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Clubiona sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Rana temporaria temporaria,Trichoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Trichoniscidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Sympetrum striolatum,Hybotidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Trypoxylon attenuatum,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Chartoscirta cincta,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Vulpes vulpes,Hyla arborea arborea,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Sympetrum striolatum,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Jassinae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Ilione lineata,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Vulpes vulpes,Stethophyma grossum,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Sympetrum striolatum,Psychodidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Pachybrachius sp,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Pirata piraticus,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Paederus riparius,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Limoniidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Tipulidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Psacadina zernyi,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Emberiza schoeniclus,Tachinidae,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
Cattin Blandenier (2004),Hyla arborea arborea,Trichoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2"
