link.citation,con.taxonomy,res.taxonomy,foodweb.name,,,,,
Cattin Blandenier (2004),Vulpes vulpes,Tetrix sp,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Conocephalus dorsalis,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Saltatoria,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Conocephalus discolor,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Acrididae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Clubiona sp,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Chorthippus sp,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Nestus mendicus,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Chorthippus montanus,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Aleocharinae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Oligochaeta,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Evarcha sp,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Evarcha sp,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Delphacidae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Lepidoptera,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Sitticus sp,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Staphylinus erythropterus,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Lumbricidae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Hemistenus flavipes,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Jassidae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Eupterygini,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Anguis fragilis,Coleoptera,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Acrididae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Vulpes vulpes,Caelifera,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Coleoptera,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Jassidae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Marpissa radiata,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Salticidae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Lacerta agilis,Coleoptera,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Falco subbuteo,Conocephalus dorsalis,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Anguis fragilis,Staphylinidae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Heteroptera,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Ichneumonidae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Trypoxylon clavicerum,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Falco subbuteo,Conocephalus discolor,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Falco subbuteo,Anisoptera,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Limonia sp,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Falco subbuteo,Sympetrum sanguineum,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Tibellus sp,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Staphylinidae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Falco subbuteo,Acrididae,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Locustella naevia,Cloeon simile,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Falco subbuteo,Somatochlora flavomaculata,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
Cattin Blandenier (2004),Falco subbuteo,Somatochlora sp,"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",,,,,
