"nannophytoplankton" "zooplankton"
"terrestrial_primary_producers" "terrestrial_insects"
"zooplankton" "Melaniris_chagresi"
"terrestrial_insects" "Melaniris_chagresi"
"zooplankton" "Characinidae_(4_common_species)"
"terrestrial_insects" "Characinidae_(4_common_species)"
"terrestrial_insects" "Poeciliidae_(2_common_species)"
"filamentous_green_algae" "Cichlasoma_maculicauda"
"Melaniris_chagresi" "Gobiomorus_dormitor"
"Melaniris_chagresi" "Tarpon_alanticus"
"Gobiomorus_dormitor" "Tarpon_alanticus"
"Melaniris_chagresi" "Chlidonias_niger"
"Characinidae_(4_common_species)" "herons_and_kingfishers"
"Poeciliidae_(2_common_species)" "herons_and_kingfishers"
"Cichlasoma_maculicauda" "herons_and_kingfishers"
