"ironplant_goldenweed_(forb/shrub)" "antelope"
"antelope" "three-cleft_greenthread_(forb/shrub)"
"antelope" "Cryptantha_sp._(forb/shrub)"
"antelope" "cheatgrass_brome_(grass)"
"antelope" "Redowski's_stickseed_(forb/shrub)"
"antelope" "groundsel_(forb/shrub)(Senecio_sp.)"
"antelope" "dandelion_(forb/shrub)"
"antelope" "wooly_indian_wheat_(forb/shrub)"
"antelope" "prairie_pepperweed_(forb/shrub)"
"antelope" "groundsel_(Senecio_multicapitatus)(forb/shrub)"
"antelope" "fringed_sagewort_(forb/shrub)"
"antelope" "blue_grama_(grass)"
"antelope" "belvedere_summer_cypress_(forb/shrub)"
"antelope" "scarlet_globe_mallow_(forb/shrub)"
"fringed_sagewort_(forb/shrub)" "cattle"
"blue_grama_(grass)" "cattle"
"belvedere_summer_cypress_(forb/shrub)" "cattle"
"scarlet_globe_mallow_(forb/shrub)" "cattle"
"cattle" "cutleaf_evening_primrose_(forb/shrub)"
"cattle" "slimflower_scurf_pea_(forb/shrub)"
"cattle" "needle_and_thread_(grass)"
"cattle" "hairy_golden_aster_(forb/shrub)"
"cattle" "red_three-awn_(grass)"
"cattle" "locoweed_(forb/shrub)"
"cattle" "carex_(grass)"
"cattle" "sand_dropseed_(grass)"
"cattle" "western_wheatgrass_(grass)"
"cattle" "gromwell_(forb/shrub)"
"fringed_sagewort_(forb/shrub)" "sheep"
"blue_grama_(grass)" "sheep"
"scarlet_globe_mallow_(forb/shrub)" "sheep"
"cutleaf_evening_primrose_(forb/shrub)" "sheep"
"slimflower_scurf_pea_(forb/shrub)" "sheep"
"needle_and_thread_(grass)" "sheep"
"carex_(grass)" "sheep"
"sand_dropseed_(grass)" "sheep"
"western_wheatgrass_(grass)" "sheep"
"sheep" "broom_snakeweed_(forb/shrub)"
"sheep" "six-weeks_fescue_(grass)"
"sheep" "wavyleaf_thistle_(forb/shrub)"
"blue_grama_(grass)" "bison"
"scarlet_globe_mallow_(forb/shrub)" "bison"
