"phytoplankton" "zooplankton"
"detritus" "detritus_feeders"
"benthic_algae" "algal_feeders"
"zooplankton" "small_midwater_plankton_feeders"
"zooplankton" "corals"
"detritus" "omnivores"
"benthic_algae" "omnivores"
"zooplankton" "omnivores"
"detritus_feeders" "omnivores"
"algal_feeders" "omnivores"
"corals" "omnivores"
"omnivores" "small_benthic_carnivores"
"detritus_feeders" "small_benthic_carnivores"
"algal_feeders" "small_benthic_carnivores"
"small_midwater_plankton_feeders" "large_midwater_carnivores"
"corals" "coral_feeders"
"omnivores" "large_benthic_carnivores"
"small_benthic_carnivores" "large_benthic_carnivores"
"small_midwater_plankton_feeders" "transient_carnivores"
"omnivores" "transient_carnivores"
"small_benthic_carnivores" "transient_carnivores"
"large_midwater_carnivores" "transient_carnivores"
"large_benthic_carnivores" "transient_carnivores"
