"Unknown_green_algae_filaments" "Amelotopsis_perscitus"
"Amelotopsis_perscitus" "Terrestial_invertebrates"
"Amelotopsis_perscitus" "Austroclima_jollyae"
"Amelotopsis_perscitus" "Eukiefiriella"
"Amelotopsis_perscitus" "Pirara"
"Amelotopsis_perscitus" "Cricotopus_II"
"Amelotopsis_perscitus" "Polypedellum"
"Amelotopsis_perscitus" "Deleatidium_spp."
"Amelotopsis_perscitus" "Oniscigaster_sp."
"Terrestial_invertebrates" "Aoteapsyche_spp."
"Aoteapsyche_spp." "Naonella"
"Eukiefiriella" "Aoteapsyche_spp."
"Pirara" "Aoteapsyche_spp."
"Deleatidium_spp." "Aoteapsyche_spp."
"Aoteapsyche_spp." "Hydrobiosella_stenocerca"
"Oniscigaster_sp." "Aoteapsyche_spp."
"Aoteapsyche_spp." "Philorheithrus_agilis"
"Unidentifiable_detritus" "Aphrophila_noevaezelandiae"
"Aphrophila_noevaezelandiae" "Plant_(macrophyte)_cells"
"Aphrophila_noevaezelandiae" "Acnanthidium_lanceolata"
"Aphrophila_noevaezelandiae" "Acnanthidium_linearis"
"Aphrophila_noevaezelandiae" "Cocconeis_sp."
"Aphrophila_noevaezelandiae" "Cyclotella_sp."
"Aphrophila_noevaezelandiae" "Cymbella_aspera"
"Aphrophila_noevaezelandiae" "Cymbella_cuspidata"
"Aphrophila_noevaezelandiae" "Cymbella_minuta"
"Aphrophila_noevaezelandiae" "Diatoma_heimale"
"Aphrophila_noevaezelandiae" "Epithemia_sorex"
"Aphrophila_noevaezelandiae" "Epithemia_zebra"
"Aphrophila_noevaezelandiae" "Eunotia_spp."
"Aphrophila_noevaezelandiae" "Fragilaria_spp."
"Aphrophila_noevaezelandiae" "Fragilaria_vaucheriae"
"Aphrophila_noevaezelandiae" "Gomphoneis_herculeana"
"Aphrophila_noevaezelandiae" "Gomphonema_angustatum"
"Aphrophila_noevaezelandiae" "Gomphonema_sp."
"Aphrophila_noevaezelandiae" "Gomphonema_subclavatum"
"Aphrophila_noevaezelandiae" "Melosira_italica/distans"
"Aphrophila_noevaezelandiae" "Melosira_varians"
"Aphrophila_noevaezelandiae" "Navicula_avenacea"
"Aphrophila_noevaezelandiae" "Navicula_cryptocephala"
"Aphrophila_noevaezelandiae" "Nitzschia_sp._(large)"
"Aphrophila_noevaezelandiae" "Pinnularia_mesoleptus"
"Aphrophila_noevaezelandiae" "Pinnularia_sp._(large)"
"Aphrophila_noevaezelandiae" "Rhoicosphenia_curvata"
"Aphrophila_noevaezelandiae" "Surirella_sp."
"Aphrophila_noevaezelandiae" "Synedra_ulna"
"Aphrophila_noevaezelandiae" "Tabellaria_flocculosa"
"Terrestial_invertebrates" "Aphrophila_noevaezelandiae"
"Naonella" "Aphrophila_noevaezelandiae"
"Eukiefiriella" "Aphrophila_noevaezelandiae"
"Deleatidium_spp." "Aphrophila_noevaezelandiae"
"Atalophlebioides_cromwelli" "Archichauliodes_diversus"
"Archichauliodes_diversus" "Austrosimulium_australense"
"Archichauliodes_diversus" "Baraeoptera_roria"
"Archichauliodes_diversus" "Larsia_II"
"Archichauliodes_diversus" "Corynoneura"
"Pirara" "Archichauliodes_diversus"
"Archichauliodes_diversus" "Costachorema_xanthoptera"
"Deleatidium_spp." "Archichauliodes_diversus"
"Archichauliodes_diversus" "Hudsonema_amibilis"
"Archichauliodes_diversus" "Hydora_nitida_(adult)"
"Hydrobiosella_stenocerca" "Archichauliodes_diversus"
"Archichauliodes_diversus" "Olinga_feredayi"
"Archichauliodes_diversus" "Psilachorema_bidens"
"Archichauliodes_diversus" "Pycnocentrodes_spp."
"Archichauliodes_diversus" "Stenoperla_prasinia"
"Archichauliodes_diversus" "Tiphobiosis_sp."
"Archichauliodes_diversus" "Zealandoperla_sp."
"Unidentifiable_detritus" "Atalophlebioides_cromwelli"
"Plant_(macrophyte)_cells" "Atalophlebioides_cromwelli"
"Atalophlebioides_cromwelli" "Hydrobiosis_parumbripennis"
"Austroclima_jollyae" "Unidentifiable_detritus"
"Austroclima_jollyae" "Cocconeis_sp."
"Austroclima_jollyae" "Cyclotella_sp."
"Austroclima_jollyae" "Cymbella_kappii"
"Austroclima_jollyae" "Cymbella_minuta"
"Austroclima_jollyae" "Epithemia_sorex"
"Austroclima_jollyae" "Epithemia_zebra"
"Austroclima_jollyae" "Gomphoneis_herculeana"
"Austroclima_jollyae" "Gomphonema_angustatum"
"Austroclima_jollyae" "Gomphonema_berggreni"
"Austroclima_jollyae" "Gomphonema_subclavatum"
"Austroclima_jollyae" "Navicula_avenacea"
"Austroclima_jollyae" "Nitzschia_sp._(small)"
"Austroclima_jollyae" "Rhoicosphenia_curvata"
"Austroclima_jollyae" "Surirella_sp."
"Austroclima_jollyae" "Synedra_ulna"
"Austroclima_jollyae" "Tabellaria_flocculosa"
"Austroclima_jollyae" "Austrosimulium_australense"
"Unidentifiable_detritus" "Austrosimulium_australense"
"Plant_(macrophyte)_cells" "Austrosimulium_australense"
"Acnanthidium_lanceolata" "Austrosimulium_australense"
"Cocconeis_sp." "Austrosimulium_australense"
"Cyclotella_sp." "Austrosimulium_australense"
"Diatoma_heimale" "Austrosimulium_australense"
"Austrosimulium_australense" "Nitzschia_sp._(small)"
"Rhoicosphenia_curvata" "Austrosimulium_australense"
"Tabellaria_flocculosa" "Austrosimulium_australense"
"Unidentifiable_detritus" "Baraeoptera_roria"
"Plant_(macrophyte)_cells" "Baraeoptera_roria"
"Acnanthidium_lanceolata" "Baraeoptera_roria"
"Acnanthidium_linearis" "Baraeoptera_roria"
"Baraeoptera_roria" "Acnanthidium_saxonica"
"Baraeoptera_roria" "Blue_green_algae_spp."
"Baraeoptera_roria" "Closterium_sp."
"Cocconeis_sp." "Baraeoptera_roria"
"Cyclotella_sp." "Baraeoptera_roria"
"Baraeoptera_roria" "Cymbella_kappii"
"Cymbella_minuta" "Baraeoptera_roria"
"Epithemia_sorex" "Baraeoptera_roria"
"Eunotia_spp." "Baraeoptera_roria"
"Fragilaria_spp." "Baraeoptera_roria"
"Fragilaria_vaucheriae" "Baraeoptera_roria"
"Gomphoneis_herculeana" "Baraeoptera_roria"
"Baraeoptera_roria" "Gomphonema_parvulum"
"Gomphonema_sp." "Baraeoptera_roria"
"Gomphonema_subclavatum" "Baraeoptera_roria"
"Melosira_italica/distans" "Baraeoptera_roria"
"Melosira_varians" "Baraeoptera_roria"
"Navicula_avenacea" "Baraeoptera_roria"
"Navicula_cryptocephala" "Baraeoptera_roria"
"Baraeoptera_roria" "Navicula_sp."
"Nitzschia_sp._(large)" "Baraeoptera_roria"
"Baraeoptera_roria" "Nitzschia_sp._(small)"
"Baraeoptera_roria" "Oedogonium_sp."
"Pinnularia_sp._(large)" "Baraeoptera_roria"
"Rhoicosphenia_curvata" "Baraeoptera_roria"
"Baraeoptera_roria" "Rhopalodia_novae_zelandicae"
"Surirella_sp." "Baraeoptera_roria"
"Synedra_ulna" "Baraeoptera_roria"
"Tabellaria_flocculosa" "Baraeoptera_roria"
"Eukiefiriella" "Baraeoptera_roria"
"Unidentifiable_detritus" "Corynoneura"
"Cymbella_cuspidata" "Corynoneura"
"Diatoma_heimale" "Corynoneura"
"Fragilaria_vaucheriae" "Corynoneura"
