"SPOM" "Filterers"
"Primary_production" "Scrapers"
"FPOM" "Gatherers"
"CPOM" "Shredders"
"Shredders" "Wood"
"Filterers" "Crayfish"
"Scrapers" "Crayfish"
"Gatherers" "Crayfish"
"Shredders" "Crayfish"
"Filterers" "Invertebrate_predators"
"Scrapers" "Invertebrate_predators"
"Gatherers" "Invertebrate_predators"
"Shredders" "Invertebrate_predators"
"Filterers" "Vertebrate_predators_(fish)"
"Scrapers" "Vertebrate_predators_(fish)"
"Gatherers" "Vertebrate_predators_(fish)"
"Shredders" "Vertebrate_predators_(fish)"
"Crayfish" "Vertebrate_predators_(fish)"
"Invertebrate_predators" "Vertebrate_predators_(fish)"
