"Dissolved_organic_carbon" "Heterotrophic_bacteria"
"Heterotrophic_bacteria" "Particulate_organic_carbon"
"Phytoplankton" "Nanoflagellates_and_ciliates"
"Heterotrophic_bacteria" "Nanoflagellates_and_ciliates"
"Phytoplankton" "Rotifers_and_veligers"
"Heterotrophic_bacteria" "Rotifers_and_veligers"
"Nanoflagellates_and_ciliates" "Rotifers_and_veligers"
"Phytoplankton" "Large_cladocerans"
"Heterotrophic_bacteria" "Large_cladocerans"
"Nanoflagellates_and_ciliates" "Large_cladocerans"
"Rotifers_and_veligers" "Large_cladocerans"
"Large_cladocerans" "Small_cladocerans"
"Large_cladocerans" "Copepods"
"Phytoplankton" "Small_cladocerans"
"Heterotrophic_bacteria" "Small_cladocerans"
"Nanoflagellates_and_ciliates" "Small_cladocerans"
"Rotifers_and_veligers" "Small_cladocerans"
"Phytoplankton" "Copepods"
"Heterotrophic_bacteria" "Copepods"
"Nanoflagellates_and_ciliates" "Copepods"
"Rotifers_and_veligers" "Copepods"
"Small_cladocerans" "Copepods"
"Phytoplankton" "Dreissenid_mussels"
"Heterotrophic_bacteria" "Dreissenid_mussels"
"Nanoflagellates_and_ciliates" "Dreissenid_mussels"
"Rotifers_and_veligers" "Dreissenid_mussels"
"Particulate_organic_carbon" "Dreissenid_mussels"
"Particulate_organic_carbon" "Diporeia"
"Diporeia" "Sediment"
"Particulate_organic_carbon" "Other_benthos"
"Sediment" "Other_benthos"
"Phytoplankton" "Mysis"
"Large_cladocerans" "Mysis"
"Small_cladocerans" "Mysis"
"Copepods" "Mysis"
"Diporeia" "Mysis"
"Sediment" "Mysis"
"Large_cladocerans" "Smelt_algae_1_and_older"
"Small_cladocerans" "Smelt_algae_1_and_older"
"Copepods" "Smelt_algae_1_and_older"
"Diporeia" "Smelt_algae_1_and_older"
"Other_benthos" "Smelt_algae_1_and_older"
"Mysis" "Smelt_algae_1_and_older"
"Smelt_algae_1_and_older" "Smelt_YOY"
"Smelt_algae_1_and_older" "Juvenile_sculpin"
"Smelt_algae_1_and_older" "Early_YOY_alewife"
"Large_cladocerans" "Smelt_YOY"
"Small_cladocerans" "Smelt_YOY"
"Copepods" "Smelt_YOY"
"Diporeia" "Smelt_YOY"
"Other_benthos" "Smelt_YOY"
"Mysis" "Smelt_YOY"
"Smelt_YOY" "Juvenile_sculpin"
"Smelt_YOY" "Early_YOY_alewife"
"Diporeia" "Adult_sculpin"
"Other_benthos" "Adult_sculpin"
"Mysis" "Adult_sculpin"
"Diporeia" "Juvenile_sculpin"
"Other_benthos" "Juvenile_sculpin"
"Large_cladocerans" "Late_YOY_and_older_alewife"
"Small_cladocerans" "Late_YOY_and_older_alewife"
"Copepods" "Late_YOY_and_older_alewife"
"Diporeia" "Late_YOY_and_older_alewife"
"Other_benthos" "Late_YOY_and_older_alewife"
"Mysis" "Late_YOY_and_older_alewife"
"Rotifers_and_veligers" "Early_YOY_alewife"
"Small_cladocerans" "Early_YOY_alewife"
"Copepods" "Early_YOY_alewife"
"Smelt_algae_1_and_older" "Chinook_salmon"
"Late_YOY_and_older_alewife" "Chinook_salmon"
"Diporeia" "Other_salmonines"
"Other_benthos" "Other_salmonines"
"Mysis" "Other_salmonines"
"Smelt_algae_1_and_older" "Other_salmonines"
"Adult_sculpin" "Other_salmonines"
"Late_YOY_and_older_alewife" "Other_salmonines"
