"Live_insects_visiting_the_pitcher" "Terrestrial_predators_living_around_the_pitchers_(spiders,_mantids,_dragonflies)"
"Terrestrial_predators_living_around_the_pitchers_(spiders,_mantids,_dragonflies)" "Fruit_fly_larvae_(Chloropidae)"
"Terrestrial_predators_living_around_the_pitchers_(spiders,_mantids,_dragonflies)" "Mosquito_larvae_(Uranotaenia_belkini)"
"Terrestrial_predators_living_around_the_pitchers_(spiders,_mantids,_dragonflies)" "Mosquito_larvae_(Uranotaenia_bosseri)"
"Fruit_fly_larvae_(Chloropidae)" "Recently_drowned_insects"
"Recently_drowned_insects" "Microorganisms_(bacteria,_protozoa,_yeast)"
"Microorganisms_(bacteria,_protozoa,_yeast)" "Organic_debris"
"Microorganisms_(bacteria,_protozoa,_yeast)" "Mites_(Creutzeria_sp)"
"Organic_debris" "Mites_(Creutzeria_sp)"
"Mosquito_larvae_(Uranotaenia_belkini)" "Microorganisms_(bacteria,_protozoa,_yeast)"
"Mosquito_larvae_(Uranotaenia_belkini)" "Mosquito_larvae_(Uranotaenia_bosseri)"
"Mosquito_larvae_(Uranotaenia_bosseri)" "Recently_drowned_insects"
"Mosquito_larvae_(Uranotaenia_bosseri)" "Microorganisms_(bacteria,_protozoa,_yeast)"
"Recently_drowned_insects" "Ants_(Tetraponera_sahlbergi)"
"Fruit_fly_larvae_(Chloropidae)" "Ants_(Tetraponera_sahlbergi)"
"Organic_debris" "Ants_(Tetraponera_sahlbergi)"
"Mites_(Creutzeria_sp)" "Ants_(Tetraponera_sahlbergi)"
"Mosquito_larvae_(Uranotaenia_belkini)" "Ants_(Tetraponera_sahlbergi)"
"Mosquito_larvae_(Uranotaenia_bosseri)" "Ants_(Tetraponera_sahlbergi)"
