"pore-water_dissolved_organic_carbon" "bacteria"
"sedimentary_labile_detritus" "meiofaunal-size_nematodes"
"meiofaunal-size_nematodes" "sedimentary_refractory_detritus"
"bacteria" "meiofaunal-size_nematodes"
"sedimentary_labile_detritus" "macrofaunal-size_nematodes"
"sedimentary_refractory_detritus" "macrofaunal-size_nematodes"
"bacteria" "macrofaunal-size_nematodes"
"meiofaunal-size_nematodes" "macrofaunal-size_nematodes"
"sedimentary_labile_detritus" "surface_deposit-feeding_polychaetes"
"sedimentary_refractory_detritus" "surface_deposit-feeding_polychaetes"
"bacteria" "surface_deposit-feeding_polychaetes"
"meiofaunal-size_nematodes" "surface_deposit-feeding_polychaetes"
"macrofaunal-size_nematodes" "surface_deposit-feeding_polychaetes"
"sedimentary_labile_detritus" "sub-surface_deposit-feeding_polychaetes"
"sedimentary_refractory_detritus" "sub-surface_deposit-feeding_polychaetes"
"bacteria" "sub-surface_deposit-feeding_polychaetes"
"meiofaunal-size_nematodes" "sub-surface_deposit-feeding_polychaetes"
"macrofaunal-size_nematodes" "sub-surface_deposit-feeding_polychaetes"
"water_column_labile_detritus" "filter-feeding_polychaetes"
"filter-feeding_polychaetes" "water_column_refractory_detritus"
"sedimentary_labile_detritus" "omnivore_polychaetes"
"sedimentary_refractory_detritus" "omnivore_polychaetes"
"bacteria" "omnivore_polychaetes"
"meiofaunal-size_nematodes" "omnivore_polychaetes"
"macrofaunal-size_nematodes" "omnivore_polychaetes"
"surface_deposit-feeding_polychaetes" "omnivore_polychaetes"
"sub-surface_deposit-feeding_polychaetes" "omnivore_polychaetes"
"filter-feeding_polychaetes" "omnivore_polychaetes"
"omnivore_polychaetes" "Sipuncula"
"omnivore_polychaetes" "Porifera"
"omnivore_polychaetes" "other_macrofauna"
"sedimentary_labile_detritus" "carnivore_polychaetes"
"sedimentary_refractory_detritus" "carnivore_polychaetes"
"bacteria" "carnivore_polychaetes"
"meiofaunal-size_nematodes" "carnivore_polychaetes"
"macrofaunal-size_nematodes" "carnivore_polychaetes"
"surface_deposit-feeding_polychaetes" "carnivore_polychaetes"
"sub-surface_deposit-feeding_polychaetes" "carnivore_polychaetes"
"filter-feeding_polychaetes" "carnivore_polychaetes"
"Sipuncula" "carnivore_polychaetes"
"Porifera" "carnivore_polychaetes"
"other_macrofauna" "carnivore_polychaetes"
"sedimentary_labile_detritus" "Sipuncula"
"sedimentary_refractory_detritus" "Sipuncula"
"bacteria" "Sipuncula"
"meiofaunal-size_nematodes" "Sipuncula"
"macrofaunal-size_nematodes" "Sipuncula"
"water_column_labile_detritus" "Porifera"
"water_column_refractory_detritus" "Porifera"
"water_column_labile_detritus" "other_macrofauna"
"water_column_refractory_detritus" "other_macrofauna"
"sedimentary_labile_detritus" "other_macrofauna"
"sedimentary_refractory_detritus" "other_macrofauna"
"bacteria" "other_macrofauna"
"meiofaunal-size_nematodes" "other_macrofauna"
"macrofaunal-size_nematodes" "other_macrofauna"
"surface_deposit-feeding_polychaetes" "other_macrofauna"
"sub-surface_deposit-feeding_polychaetes" "other_macrofauna"
"filter-feeding_polychaetes" "other_macrofauna"
"Sipuncula" "other_macrofauna"
"Porifera" "other_macrofauna"
