"DOM" "Bacteria"
"Bacteria" "Microzooplankton"
"Microzooplankton" "Phaeocystis"
"Microzooplankton" "Cryptophytes"
"Microzooplankton" "Copepods_-_Meroplankton"
"Bacteria" "Pteropods"
"Microzooplankton" "Pteropods"
"Phaeocystis" "Pteropods"
"Pteropods" "Diatoms"
"Microzooplankton" "Gelatinous_zooplankton"
"Pteropods" "Gelatinous_zooplankton"
"Copepods_-_Meroplankton" "Diatoms"
"Copepods_-_Meroplankton" "Pteropods"
"Copepods_-_Meroplankton" "Gelatinous_zooplankton"
"Copepods_-_Meroplankton" "Ice_algae"
"Small_fish" "Tooth-fish"
"Tooth-fish" "Crystal_Krill"
"Baleen_whales" "Killer_Whales_A"
"Crabeater_seals" "Killer_Whales_B"
"Killer_Whales_B" "Weddell_seals"
"Killer_Whales_B" "Emperor_penguins"
"Tooth-fish" "Killer_Whales_C"
"Small_fish" "Squid"
"Crystal_Krill" "Squid"
"Pteropods" "Small_fish"
"Copepods_-_Meroplankton" "Small_fish"
"Small_fish" "Crystal_Krill"
"Diatoms" "Crystal_Krill"
"Ice_algae" "Crystal_Krill"
"Crystal_Krill" "Baleen_whales"
"Adelie_penguins" "Leopard_seals"
"Crystal_Krill" "Crabeater_seals"
"Tooth-fish" "Weddell_seals"
"Small_fish" "Adelie_penguins"
"Crystal_Krill" "Adelie_penguins"
"Small_fish" "Emperor_penguins"
"Small_fish" "Petrels"
"Crystal_Krill" "Petrels"
