"large_particle_detritus" "Prionocyphon_niger_(Scirtidae)"
"small_particle_detritus" "Glogdia_sp._(Psychodidae)"
"small_particle_detritus" "algophagid_mites"
"small_particle_detritus" "mosquito_larvae"
"mosquito_larvae" "suspended_organic_matter"
"suspended_organic_matter" "ostracods"
"Prionocyphon_niger_(Scirtidae)" "Anatopynia_pennipes_(Chironomidae)"
"Glogdia_sp._(Psychodidae)" "Anatopynia_pennipes_(Chironomidae)"
"mosquito_larvae" "Anatopynia_pennipes_(Chironomidae)"
"Anatopynia_pennipes_(Chironomidae)" "Culicoides_angularis_(Ceratopogonidae)"
"Anatopynia_pennipes_(Chironomidae)" "Arrhenurus_sp._(Arrhenuridae)"
"Prionocyphon_niger_(Scirtidae)" "Culicoides_angularis_(Ceratopogonidae)"
"Glogdia_sp._(Psychodidae)" "Culicoides_angularis_(Ceratopogonidae)"
"mosquito_larvae" "Culicoides_angularis_(Ceratopogonidae)"
"Culicoides_angularis_(Ceratopogonidae)" "Arrhenurus_sp._(Arrhenuridae)"
"Prionocyphon_niger_(Scirtidae)" "Arrhenurus_sp._(Arrhenuridae)"
"Glogdia_sp._(Psychodidae)" "Arrhenurus_sp._(Arrhenuridae)"
"algophagid_mites" "Arrhenurus_sp._(Arrhenuridae)"
"mosquito_larvae" "Arrhenurus_sp._(Arrhenuridae)"
"Prionocyphon_niger_(Scirtidae)" "Lechriodus_fletcheri_(Leptodactylidae)"
"Glogdia_sp._(Psychodidae)" "Lechriodus_fletcheri_(Leptodactylidae)"
"mosquito_larvae" "Lechriodus_fletcheri_(Leptodactylidae)"
"Anatopynia_pennipes_(Chironomidae)" "Lechriodus_fletcheri_(Leptodactylidae)"
"Culicoides_angularis_(Ceratopogonidae)" "Lechriodus_fletcheri_(Leptodactylidae)"
"Arrhenurus_sp._(Arrhenuridae)" "Lechriodus_fletcheri_(Leptodactylidae)"
