"detritus" "bacteria"
"bacteria" "dissolved_organic_matter"
"dissolved_organic_matter" "zooflagellates"
"bacteria" "zooflagellates"
"small_phytoplankton" "ciliates"
"bacteria" "ciliates"
"zooflagellates" "ciliates"
"small_phytoplankton" "meroplankton_-_appendicularians_-_doliolids"
"bacteria" "meroplankton_-_appendicularians_-_doliolids"
"zooflagellates" "meroplankton_-_appendicularians_-_doliolids"
"ciliates" "meroplankton_-_appendicularians_-_doliolids"
"small_phytoplankton" "small_calanoids"
"bacteria" "small_calanoids"
"zooflagellates" "small_calanoids"
"ciliates" "small_calanoids"
"small_phytoplankton" "medium-sized_calanoids"
"medium-sized_calanoids" "medium_phytoplankton"
"ciliates" "medium-sized_calanoids"
"small_phytoplankton" "juvenile_euphausiids"
"medium_phytoplankton" "juvenile_euphausiids"
"juvenile_euphausiids" "arge_phytoplankton"
"ciliates" "juvenile_euphausiids"
"ciliates" "cyclopoids"
"meroplankton_-_appendicularians_-_doliolids" "cyclopoids"
"small_calanoids" "cyclopoids"
"ciliates" "calanoids_-_small_tomopterids_-_small_coelenterates"
"meroplankton_-_appendicularians_-_doliolids" "calanoids_-_small_tomopterids_-_small_coelenterates"
"small_calanoids" "calanoids_-_small_tomopterids_-_small_coelenterates"
"medium-sized_calanoids" "calanoids_-_small_tomopterids_-_small_coelenterates"
"cyclopoids" "calanoids_-_small_tomopterids_-_small_coelenterates"
"meroplankton_-_appendicularians_-_doliolids" "chaetognaths_-_polychaetes"
"small_calanoids" "chaetognaths_-_polychaetes"
"medium-sized_calanoids" "chaetognaths_-_polychaetes"
"juvenile_euphausiids" "chaetognaths_-_polychaetes"
"cyclopoids" "chaetognaths_-_polychaetes"
"calanoids_-_small_tomopterids_-_small_coelenterates" "chaetognaths_-_polychaetes"
"medium_phytoplankton" "anchovy"
"arge_phytoplankton" "anchovy"
"meroplankton_-_appendicularians_-_doliolids" "anchovy"
"small_calanoids" "anchovy"
"medium-sized_calanoids" "anchovy"
"cyclopoids" "anchovy"
"calanoids_-_small_tomopterids_-_small_coelenterates" "anchovy"
"chaetognaths_-_polychaetes" "anchovy"
