"Sphagnum_riparium" "Psectrocladius_larvae"
"Psectrocladius_larvae" "algae"
"detritus" "chironomid_larvae_-_cladocerans_-_rotifers"
"decomposing_sphagnum" "fungi"
"angiosperms" "caterpillars"
"chironomid_larvae_-_cladocerans_-_rotifers" "Utricularia"
"decomposing_sphagnum" "collembola"
"fungi" "collembola"
"Psectrocladius_larvae" "Chaoborus_-_Odonata_larvae_-_Hemiptera_-_Coleoptera"
"chironomid_larvae_-_cladocerans_-_rotifers" "Chaoborus_-_Odonata_larvae_-_Hemiptera_-_Coleoptera"
"Psectrocladius_larvae" "Nematocera_imagines"
"chironomid_larvae_-_cladocerans_-_rotifers" "Nematocera_imagines"
"Chaoborus_-_Odonata_larvae_-_Hemiptera_-_Coleoptera" "Nematocera_imagines"
"Nematocera_imagines" "Drosera"
"fungi" "ants"
"Nematocera_imagines" "ants"
"Nematocera_imagines" "spiders"
"ants" "spiders"
"angiosperms" "frogs_-_lizards_-_birds"
"caterpillars" "frogs_-_lizards_-_birds"
"spiders" "frogs_-_lizards_-_birds"
"frogs_-_lizards_-_birds" "birds_of_prey"
